"StateCode","Deductible","InsuranceToValueLevelPercentage_From","InsuranceToValueLevelPercentage_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW","10,000",1,2,0,250001,1.92,1.88
"CW","10,000",1,2,250001,500001,2.72,2.6
"CW","10,000",1,2,500001,1000001,3.12,2.96
"CW","10,000",1,2,1000001,5000001,3.76,3.4
"CW","10,000",1,2,5000001,2147483647,4.16,3.68
"CW","10,000",2,3,0,250001,1.88,1.813
"CW","10,000",2,3,250001,500001,2.6,2.48
"CW","10,000",2,3,500001,1000001,2.96,2.8
"CW","10,000",2,3,1000001,5000001,3.4,3.2
"CW","10,000",2,3,5000001,2147483647,3.68,3.413
"CW","10,000",3,4,0,250001,1.813,1.78
"CW","10,000",3,4,250001,500001,2.48,2.4
"CW","10,000",3,4,500001,1000001,2.8,2.7
"CW","10,000",3,4,1000001,5000001,3.2,3.04
"CW","10,000",3,4,5000001,2147483647,3.413,3.2
"CW","10,000",4,5,0,250001,1.78,1.744
"CW","10,000",4,5,250001,500001,2.4,2.336
"CW","10,000",4,5,500001,1000001,2.7,2.592
"CW","10,000",4,5,1000001,5000001,3.04,2.896
"CW","10,000",4,5,5000001,2147483647,3.2,3.04
"CW","10,000",5,10,0,250001,1.744,1.576
"CW","10,000",5,10,250001,500001,2.336,2.032
"CW","10,000",5,10,500001,1000001,2.592,2.224
"CW","10,000",5,10,1000001,5000001,2.896,2.424
"CW","10,000",5,10,5000001,2147483647,3.04,2.504
"CW","10,000",10,15,0,250001,1.576,1.451
"CW","10,000",10,15,250001,500001,2.032,1.829
"CW","10,000",10,15,500001,1000001,2.224,1.973
"CW","10,000",10,15,1000001,5000001,2.424,2.128
"CW","10,000",10,15,5000001,2147483647,2.504,2.187
"CW","10,000",15,20,0,250001,1.451,1.344
"CW","10,000",15,20,250001,500001,1.829,1.668
"CW","10,000",15,20,500001,1000001,1.973,1.792
"CW","10,000",15,20,1000001,5000001,2.128,1.912
"CW","10,000",15,20,5000001,2147483647,2.187,1.964
"CW","10,000",20,25,0,250001,1.344,1.258
"CW","10,000",20,25,250001,500001,1.668,1.539
"CW","10,000",20,25,500001,1000001,1.792,1.645
"CW","10,000",20,25,1000001,5000001,1.912,1.747
"CW","10,000",20,25,5000001,2147483647,1.964,1.789
"CW","10,000",25,30,0,250001,1.258,1.184
"CW","10,000",25,30,250001,500001,1.539,1.435
"CW","10,000",25,30,500001,1000001,1.645,1.525
"CW","10,000",25,30,1000001,5000001,1.747,1.616
"CW","10,000",25,30,5000001,2147483647,1.789,1.651
"CW","10,000",30,35,0,250001,1.184,1.12
"CW","10,000",30,35,250001,500001,1.435,1.346
"CW","10,000",30,35,500001,1000001,1.525,1.426
"CW","10,000",30,35,1000001,5000001,1.616,1.506
"CW","10,000",30,35,5000001,2147483647,1.651,1.536
"CW","10,000",35,40,0,250001,1.12,1.066
"CW","10,000",35,40,250001,500001,1.346,1.268
"CW","10,000",35,40,500001,1000001,1.426,1.342
"CW","10,000",35,40,1000001,5000001,1.506,1.412
"CW","10,000",35,40,5000001,2147483647,1.536,1.44
"CW","10,000",40,45,0,250001,1.066,1.017
"CW","10,000",40,45,250001,500001,1.268,1.202
"CW","10,000",40,45,500001,1000001,1.342,1.269
"CW","10,000",40,45,1000001,5000001,1.412,1.333
"CW","10,000",40,45,5000001,2147483647,1.44,1.358
"CW","10,000",45,50,0,250001,1.017,0.973
"CW","10,000",45,50,250001,500001,1.202,1.144
"CW","10,000",45,50,500001,1000001,1.269,1.205
"CW","10,000",45,50,1000001,5000001,1.333,1.262
"CW","10,000",45,50,5000001,2147483647,1.358,1.285
"CW","10,000",50,55,0,250001,0.973,0.934
"CW","10,000",50,55,250001,500001,1.144,1.092
"CW","10,000",50,55,500001,1000001,1.205,1.149
"CW","10,000",50,55,1000001,5000001,1.262,1.201
"CW","10,000",50,55,5000001,2147483647,1.285,1.222
"CW","10,000",55,60,0,250001,0.934,0.899
"CW","10,000",55,60,250001,500001,1.092,1.047
"CW","10,000",55,60,500001,1000001,1.149,1.099
"CW","10,000",55,60,1000001,5000001,1.201,1.148
"CW","10,000",55,60,5000001,2147483647,1.222,1.167
"CW","10,000",60,65,0,250001,0.899,0.868
"CW","10,000",60,65,250001,500001,1.047,1.006
"CW","10,000",60,65,500001,1000001,1.099,1.054
"CW","10,000",60,65,1000001,5000001,1.148,1.099
"CW","10,000",60,65,5000001,2147483647,1.167,1.118
"CW","10,000",65,70,0,250001,0.868,0.839
"CW","10,000",65,70,250001,500001,1.006,0.968
"CW","10,000",65,70,500001,1000001,1.054,1.014
"CW","10,000",65,70,1000001,5000001,1.099,1.056
"CW","10,000",65,70,5000001,2147483647,1.118,1.072
"CW","10,000",70,75,0,250001,0.839,0.814
"CW","10,000",70,75,250001,500001,0.968,0.934
"CW","10,000",70,75,500001,1000001,1.014,0.977
"CW","10,000",70,75,1000001,5000001,1.056,1.018
"CW","10,000",70,75,5000001,2147483647,1.072,1.033
"CW","10,000",75,80,0,250001,0.814,0.736
"CW","10,000",75,80,250001,500001,0.934,0.902
"CW","10,000",75,80,500001,1000001,0.977,0.944
"CW","10,000",75,80,1000001,5000001,1.018,0.979
"CW","10,000",75,80,5000001,2147483647,1.033,0.986
"CW","10,000",80,90,250001,500001,0.902,0.857
"CW","10,000",80,90,500001,1000001,0.944,0.897
"CW","10,000",80,90,1000001,5000001,0.979,0.93
"CW","10,000",80,90,5000001,2147483647,0.986,0.937
"CW","10,000",80,100,0,250001,0.736,0.698
"CW","10,000",90,100,250001,500001,0.857,0.812
"CW","10,000",90,100,500001,1000001,0.897,0.85
"CW","10,000",90,100,1000001,5000001,0.93,0.881
"CW","10,000",90,100,5000001,2147483647,0.937,0.887
"CW","10,000",100,2147483647,0,250001,0.698,0.698
"CW","10,000",100,2147483647,250001,500001,0.812,0.812
"CW","10,000",100,2147483647,500001,1000001,0.85,0.85
"CW","10,000",100,2147483647,1000001,5000001,0.881,0.881
"CW","10,000",100,2147483647,5000001,2147483647,0.887,0.887
"CW","25,000",1,2,0,500001,1.68,1.68
"CW","25,000",1,2,500001,1000001,2.56,2.44
"CW","25,000",1,2,1000001,5000001,3.36,3.12
"CW","25,000",1,2,5000001,10000001,3.76,3.4
"CW","25,000",1,2,10000001,2147483647,4,3.6
"CW","25,000",2,3,0,500001,1.68,1.627
"CW","25,000",2,3,500001,1000001,2.44,2.347
"CW","25,000",2,3,1000001,5000001,3.12,2.96
"CW","25,000",2,3,5000001,10000001,3.4,3.2
"CW","25,000",2,3,10000001,2147483647,3.6,3.333
"CW","25,000",3,4,0,500001,1.627,1.6
"CW","25,000",3,4,500001,1000001,2.347,2.28
"CW","25,000",3,4,1000001,5000001,2.96,2.84
"CW","25,000",3,4,5000001,10000001,3.2,3.02
"CW","25,000",3,4,10000001,2147483647,3.333,3.14
"CW","25,000",4,5,0,500001,1.6,1.568
"CW","25,000",4,5,500001,1000001,2.28,2.208
"CW","25,000",4,5,1000001,5000001,2.84,2.72
"CW","25,000",4,5,5000001,10000001,3.02,2.896
"CW","25,000",4,5,10000001,2147483647,3.14,2.992
"CW","25,000",5,10,0,500001,1.568,1.44
"CW","25,000",5,10,500001,1000001,2.208,1.944
"CW","25,000",5,10,1000001,5000001,2.72,2.304
"CW","25,000",5,10,5000001,10000001,2.896,2.416
"CW","25,000",5,10,10000001,2147483647,2.992,2.48
"CW","25,000",10,15,0,500001,1.44,1.328
"CW","25,000",10,15,500001,1000001,1.944,1.755
"CW","25,000",10,15,1000001,5000001,2.304,2.037
"CW","25,000",10,15,5000001,10000001,2.416,2.123
"CW","25,000",10,15,10000001,2147483647,2.48,2.171
"CW","25,000",15,20,0,500001,1.328,1.24
"CW","25,000",15,20,500001,1000001,1.755,1.608
"CW","25,000",15,20,1000001,5000001,2.037,1.844
"CW","25,000",15,20,5000001,10000001,2.123,1.912
"CW","25,000",15,20,10000001,2147483647,2.171,1.948
"CW","25,000",20,25,0,500001,1.24,1.165
"CW","25,000",20,25,500001,1000001,1.608,1.485
"CW","25,000",20,25,1000001,5000001,1.844,1.69
"CW","25,000",20,25,5000001,10000001,1.912,1.747
"CW","25,000",20,25,10000001,2147483647,1.948,1.776
"CW","25,000",25,30,0,500001,1.165,1.099
"CW","25,000",25,30,500001,1000001,1.485,1.387
"CW","25,000",25,30,1000001,5000001,1.69,1.565
"CW","25,000",25,30,5000001,10000001,1.747,1.613
"CW","25,000",25,30,10000001,2147483647,1.776,1.64
"CW","25,000",30,35,0,500001,1.099,1.045
"CW","25,000",30,35,500001,1000001,1.387,1.303
"CW","25,000",30,35,1000001,5000001,1.565,1.461
"CW","25,000",30,35,5000001,10000001,1.613,1.504
"CW","25,000",30,35,10000001,2147483647,1.64,1.527
"CW","25,000",35,40,0,500001,1.045,0.994
"CW","25,000",35,40,500001,1000001,1.303,1.23
"CW","25,000",35,40,1000001,5000001,1.461,1.372
"CW","25,000",35,40,5000001,10000001,1.504,1.412
"CW","25,000",35,40,10000001,2147483647,1.527,1.432
"CW","25,000",40,45,0,500001,0.994,0.951
"CW","25,000",40,45,500001,1000001,1.23,1.166
"CW","25,000",40,45,1000001,5000001,1.372,1.296
"CW","25,000",40,45,5000001,10000001,1.412,1.332
"CW","25,000",40,45,10000001,2147483647,1.432,1.349
"CW","25,000",45,50,0,500001,0.951,0.912
"CW","25,000",45,50,500001,1000001,1.166,1.11
"CW","25,000",45,50,1000001,5000001,1.296,1.23
"CW","25,000",45,50,5000001,10000001,1.332,1.262
"CW","25,000",45,50,10000001,2147483647,1.349,1.278
"CW","25,000",50,55,0,500001,0.912,0.877
"CW","25,000",50,55,500001,1000001,1.11,1.062
"CW","25,000",50,55,1000001,5000001,1.23,1.171
"CW","25,000",50,55,5000001,10000001,1.262,1.201
"CW","25,000",50,55,10000001,2147483647,1.278,1.216
"CW","25,000",55,60,0,500001,0.877,0.845
"CW","25,000",55,60,500001,1000001,1.062,1.017
"CW","25,000",55,60,1000001,5000001,1.171,1.119
"CW","25,000",55,60,5000001,10000001,1.201,1.147
"CW","25,000",55,60,10000001,2147483647,1.216,1.161
"CW","25,000",60,65,0,500001,0.845,0.817
"CW","25,000",60,65,500001,1000001,1.017,0.978
"CW","25,000",60,65,1000001,5000001,1.119,1.073
"CW","25,000",60,65,5000001,10000001,1.147,1.099
"CW","25,000",60,65,10000001,2147483647,1.161,1.111
"CW","25,000",65,70,0,500001,0.817,0.791
