"StateCode","Limit_From","Limit_ToLessThan","Factor_From","Factor_ToLessThan",
"CW",0,10000,1.728,1.728
"CW",10000,20000,1.728,1.366
"CW",20000,30000,1.366,1.19
"CW",30000,40000,1.19,1.079
"CW",40000,50000,1.079,1
"CW",50000,60000,1,0.94
"CW",60000,70000,0.94,0.892
"CW",70000,80000,0.892,0.852
"CW",80000,90000,0.852,0.819
"CW",90000,100000,0.819,0.79
"CW",100000,125000,0.79,0.732
"CW",125000,150000,0.732,0.688
"CW",150000,175000,0.688,0.653
"CW",175000,200000,0.653,0.624
"CW",200000,225000,0.624,0.6
"CW",225000,250000,0.6,0.579
"CW",250000,275000,0.579,0.56
"CW",275000,300000,0.56,0.544
"CW",300000,325000,0.544,0.529
"CW",325000,350000,0.529,0.516
"CW",350000,375000,0.516,0.504
"CW",375000,400000,0.504,0.493
"CW",400000,425000,0.493,0.483
"CW",425000,450000,0.483,0.474
"CW",450000,475000,0.474,0.465
"CW",475000,500000,0.465,0.457
"CW",500000,550000,0.457,0.443
"CW",550000,600000,0.443,0.43
"CW",600000,650000,0.43,0.418
"CW",650000,700000,0.418,0.408
"CW",700000,750000,0.408,0.398
"CW",750000,800000,0.398,0.39
"CW",800000,850000,0.39,0.382
"CW",850000,900000,0.382,0.374
"CW",900000,950000,0.374,0.367
"CW",950000,1000000,0.367,0.361
"CW",1000000,1100000,0.361,0.35
"CW",1100000,1200000,0.35,0.339
"CW",1200000,1300000,0.339,0.33
"CW",1300000,1400000,0.33,0.322
"CW",1400000,1500000,0.322,0.315
"CW",1500000,1600000,0.315,0.308
"CW",1600000,1700000,0.308,0.302
"CW",1700000,1800000,0.302,0.296
"CW",1800000,1900000,0.296,0.29
"CW",1900000,2000000,0.29,0.285
"CW",2000000,2500000,0.285,0.264
"CW",2500000,3000000,0.264,0.249
"CW",3000000,3500000,0.249,0.236
"CW",3500000,4000000,0.236,0.225
"CW",4000000,4500000,0.225,0.217
"CW",4500000,5000000,0.217,0.209
"CW",5000000,999999999,0.209,0.209
"CW",999999999,2147483647,0.209,0.209
