"StateCode","Deductible","InsuranceToValueLevelPercentage_From","InsuranceToValueLevelPercentage_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW","500,000",80,90,750001,1000001,0,0
"CW","500,000",80,90,1000001,3500001,0.653,0.62
"CW","500,000",80,90,3500001,5500001,0.755,0.717
"CW","500,000",80,90,5500001,10000001,0.82,0.779
"CW","500,000",80,90,10000001,2147483647,0.878,0.834
"CW","500,000",90,100,0,750001,0,0
"CW","500,000",90,100,750001,1000001,0,0
"CW","500,000",90,100,1000001,3500001,0.62,0
"CW","500,000",90,100,3500001,5500001,0.717,0.68
"CW","500,000",90,100,5500001,10000001,0.779,0.738
"CW","500,000",90,100,10000001,2147483647,0.834,0.79
"CW","500,000",100,2147483647,0,750001,0,0
"CW","500,000",100,2147483647,750001,1000001,0,0
"CW","500,000",100,2147483647,1000001,3500001,0,0
"CW","500,000",100,2147483647,3500001,5500001,0.68,0.68
"CW","500,000",100,2147483647,5500001,10000001,0.738,0.738
"CW","500,000",100,2147483647,10000001,2147483647,0.79,0.79
"CW","750,000",1,2,0,1500001,0.48,0.48
"CW","750,000",1,2,1500001,2000001,0.72,0.68
"CW","750,000",1,2,2000001,3500001,0.96,0.96
"CW","750,000",1,2,3500001,5500001,1.28,1.28
"CW","750,000",1,2,5500001,10000001,1.68,1.68
"CW","750,000",1,2,10000001,2147483647,2.4,2.36
"CW","750,000",2,3,0,1500001,0.48,0.48
"CW","750,000",2,3,1500001,2000001,0.68,0.667
"CW","750,000",2,3,2000001,3500001,0.96,0.933
"CW","750,000",2,3,3500001,5500001,1.28,1.253
"CW","750,000",2,3,5500001,10000001,1.68,1.653
"CW","750,000",2,3,10000001,2147483647,2.36,2.267
"CW","750,000",3,4,0,1500001,0.48,0.48
"CW","750,000",3,4,1500001,2000001,0.667,0.66
"CW","750,000",3,4,2000001,3500001,0.933,0.92
"CW","750,000",3,4,3500001,5500001,1.253,1.24
"CW","750,000",3,4,5500001,10000001,1.653,1.6
"CW","750,000",3,4,10000001,2147483647,2.267,2.2
"CW","750,000",4,5,0,1500001,0.48,0.48
"CW","750,000",4,5,1500001,2000001,0.66,0.672
"CW","750,000",4,5,2000001,3500001,0.92,0.912
"CW","750,000",4,5,3500001,5500001,1.24,1.216
"CW","750,000",4,5,5500001,10000001,1.6,1.584
"CW","750,000",4,5,10000001,2147483647,2.2,2.144
"CW","750,000",5,10,0,1500001,0.48,0.48
"CW","750,000",5,10,1500001,2000001,0.672,0.64
"CW","750,000",5,10,2000001,3500001,0.912,0.856
"CW","750,000",5,10,3500001,5500001,1.216,1.136
"CW","750,000",5,10,5500001,10000001,1.584,1.44
"CW","750,000",5,10,10000001,2147483647,2.144,1.888
"CW","750,000",10,15,0,1500001,0.48,0.469
"CW","750,000",10,15,1500001,2000001,0.64,0.619
"CW","750,000",10,15,2000001,3500001,0.856,0.816
"CW","750,000",10,15,3500001,5500001,1.136,1.061
"CW","750,000",10,15,5500001,10000001,1.44,1.328
"CW","750,000",10,15,10000001,2147483647,1.888,1.707
"CW","750,000",15,20,0,1500001,0.469,0.508
"CW","750,000",15,20,1500001,2000001,0.619,0.596
"CW","750,000",15,20,2000001,3500001,0.816,0.78
"CW","750,000",15,20,3500001,5500001,1.061,1.004
"CW","750,000",15,20,5500001,10000001,1.328,1.24
"CW","750,000",15,20,10000001,2147483647,1.707,1.568
"CW","750,000",20,25,0,1500001,0.508,0.509
"CW","750,000",20,25,1500001,2000001,0.596,0.579
"CW","750,000",20,25,2000001,3500001,0.78,0.749
"CW","750,000",20,25,3500001,5500001,1.004,0.95
"CW","750,000",20,25,5500001,10000001,1.24,1.162
"CW","750,000",20,25,10000001,2147483647,1.568,1.453
"CW","750,000",25,30,0,1500001,0.509,0.515
"CW","750,000",25,30,1500001,2000001,0.579,0.563
"CW","750,000",25,30,2000001,3500001,0.749,0.72
"CW","750,000",25,30,3500001,5500001,0.95,0.904
"CW","750,000",25,30,5500001,10000001,1.162,1.099
"CW","750,000",25,30,10000001,2147483647,1.453,1.355
"CW","750,000",30,35,0,1500001,0.515,0.505
"CW","750,000",30,35,1500001,2000001,0.563,0.587
"CW","750,000",30,35,2000001,3500001,0.72,0.693
"CW","750,000",30,35,3500001,5500001,0.904,0.864
"CW","750,000",30,35,5500001,10000001,1.099,1.04
"CW","750,000",30,35,10000001,2147483647,1.355,1.275
"CW","750,000",35,40,0,1500001,0.505,0.498
"CW","750,000",35,40,1500001,2000001,0.587,0.572
"CW","750,000",35,40,2000001,3500001,0.693,0.67
"CW","750,000",35,40,3500001,5500001,0.864,0.828
"CW","750,000",35,40,5500001,10000001,1.04,0.992
"CW","750,000",35,40,10000001,2147483647,1.275,1.204
"CW","750,000",40,45,0,1500001,0.498,0.492
"CW","750,000",40,45,1500001,2000001,0.572,0.558
"CW","750,000",40,45,2000001,3500001,0.67,0.649
"CW","750,000",40,45,3500001,5500001,0.828,0.796
"CW","750,000",40,45,5500001,10000001,0.992,0.948
"CW","750,000",40,45,10000001,2147483647,1.204,1.143
"CW","750,000",45,50,0,1500001,0.492,0.496
"CW","750,000",45,50,1500001,2000001,0.558,0.547
"CW","750,000",45,50,2000001,3500001,0.649,0.632
"CW","750,000",45,50,3500001,5500001,0.796,0.768
"CW","750,000",45,50,5500001,10000001,0.948,0.909
"CW","750,000",45,50,10000001,2147483647,1.143,1.09
"CW","750,000",50,55,0,1500001,0.496,0
"CW","750,000",50,55,1500001,2000001,0.547,0.538
"CW","750,000",50,55,2000001,3500001,0.632,0.637
"CW","750,000",50,55,3500001,5500001,0.768,0.743
"CW","750,000",50,55,5500001,10000001,0.909,0.873
"CW","750,000",50,55,10000001,2147483647,1.09,1.041
"CW","750,000",55,60,0,1500001,0,0
"CW","750,000",55,60,1500001,2000001,0.538,0.532
"CW","750,000",55,60,2000001,3500001,0.637,0.621
"CW","750,000",55,60,3500001,5500001,0.743,0.72
"CW","750,000",55,60,5500001,10000001,0.873,0.841
"CW","750,000",55,60,10000001,2147483647,1.041,0.999
"CW","750,000",60,65,0,1500001,0,0
"CW","750,000",60,65,1500001,2000001,0.532,0.513
"CW","750,000",60,65,2000001,3500001,0.621,0.625
"CW","750,000",60,65,3500001,5500001,0.72,0.722
"CW","750,000",60,65,5500001,10000001,0.841,0.814
"CW","750,000",60,65,10000001,2147483647,0.999,0.96
"CW","750,000",65,70,0,1500001,0,0
"CW","750,000",65,70,1500001,2000001,0.513,0
"CW","750,000",65,70,2000001,3500001,0.625,0.613
"CW","750,000",65,70,3500001,5500001,0.722,0.703
"CW","750,000",65,70,5500001,10000001,0.814,0.81
"CW","750,000",65,70,10000001,2147483647,0.96,0.926
"CW","750,000",70,75,0,1500001,0,0
"CW","750,000",70,75,1500001,2000001,0,0
"CW","750,000",70,75,2000001,3500001,0.613,0.617
"CW","750,000",70,75,3500001,5500001,0.703,0.703
"CW","750,000",70,75,5500001,10000001,0.81,0.806
"CW","750,000",70,75,10000001,2147483647,0.926,0.895
"CW","750,000",75,80,0,1500001,0,0
"CW","750,000",75,80,1500001,2000001,0,0
"CW","750,000",75,80,2000001,3500001,0.617,0
"CW","750,000",75,80,3500001,5500001,0.703,0.687
"CW","750,000",75,80,5500001,10000001,0.806,0.783
"CW","750,000",75,80,10000001,2147483647,0.895,0.865
"CW","750,000",80,90,0,1500001,0,0
"CW","750,000",80,90,1500001,2000001,0,0
"CW","750,000",80,90,2000001,3500001,0,0
"CW","750,000",80,90,3500001,5500001,0.687,0.653
"CW","750,000",80,90,5500001,10000001,0.783,0.744
"CW","750,000",80,90,10000001,2147483647,0.865,0.822
"CW","750,000",90,100,0,1500001,0,0
"CW","750,000",90,100,1500001,2000001,0,0
"CW","750,000",90,100,2000001,3500001,0,0
"CW","750,000",90,100,3500001,5500001,0.653,0
"CW","750,000",90,100,5500001,10000001,0.744,0.705
"CW","750,000",90,100,10000001,2147483647,0.822,0.778
"CW","750,000",100,2147483647,0,1500001,0,0
"CW","750,000",100,2147483647,1500001,2000001,0,0
"CW","750,000",100,2147483647,2000001,3500001,0,0
"CW","750,000",100,2147483647,3500001,5500001,0,0
"CW","750,000",100,2147483647,5500001,10000001,0.705,0.705
"CW","750,000",100,2147483647,10000001,2147483647,0.778,0.778
