"StateCode","Deductible","InsuranceToValueLevelPercentage_From","InsuranceToValueLevelPercentage_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW","2,500",1,2,0,100001,2.32,2.28
"CW","2,500",1,2,100001,250001,3.12,2.96
"CW","2,500",1,2,250001,500001,3.52,3.24
"CW","2,500",1,2,500001,2147483647,4.16,3.72
"CW","2,500",2,3,0,100001,2.28,2.187
"CW","2,500",2,3,100001,250001,2.96,2.827
"CW","2,500",2,3,250001,500001,3.24,3.067
"CW","2,500",2,3,500001,2147483647,3.72,3.44
"CW","2,500",3,4,0,100001,2.187,2.14
"CW","2,500",3,4,100001,250001,2.827,2.7
"CW","2,500",3,4,250001,500001,3.067,2.92
"CW","2,500",3,4,500001,2147483647,3.44,3.22
"CW","2,500",4,5,0,100001,2.14,2.08
"CW","2,500",4,5,100001,250001,2.7,2.608
"CW","2,500",4,5,250001,500001,2.92,2.784
"CW","2,500",4,5,500001,2147483647,3.22,3.056
"CW","2,500",5,10,0,100001,2.08,1.856
"CW","2,500",5,10,100001,250001,2.608,2.232
"CW","2,500",5,10,250001,500001,2.784,2.36
"CW","2,500",5,10,500001,2147483647,3.056,2.52
"CW","2,500",10,15,0,100001,1.856,1.691
"CW","2,500",10,15,100001,250001,2.232,1.984
"CW","2,500",10,15,250001,500001,2.36,2.08
"CW","2,500",10,15,500001,2147483647,2.52,2.197
"CW","2,500",15,20,0,100001,1.691,1.556
"CW","2,500",15,20,100001,250001,1.984,1.8
"CW","2,500",15,20,250001,500001,2.08,1.88
"CW","2,500",15,20,500001,2147483647,2.197,1.968
"CW","2,500",20,25,0,100001,1.556,1.446
"CW","2,500",20,25,100001,250001,1.8,1.654
"CW","2,500",20,25,250001,500001,1.88,1.722
"CW","2,500",20,25,500001,2147483647,1.968,1.795
"CW","2,500",25,30,0,100001,1.446,1.355
"CW","2,500",25,30,100001,250001,1.654,1.536
"CW","2,500",25,30,250001,500001,1.722,1.592
"CW","2,500",25,30,500001,2147483647,1.795,1.656
"CW","2,500",30,35,0,100001,1.355,1.275
"CW","2,500",30,35,100001,250001,1.536,1.438
"CW","2,500",30,35,250001,500001,1.592,1.486
"CW","2,500",30,35,500001,2147483647,1.656,1.541
"CW","2,500",35,40,0,100001,1.275,1.208
"CW","2,500",35,40,100001,250001,1.438,1.352
"CW","2,500",35,40,250001,500001,1.486,1.396
"CW","2,500",35,40,500001,2147483647,1.541,1.444
"CW","2,500",40,45,0,100001,1.208,1.148
"CW","2,500",40,45,100001,250001,1.352,1.278
"CW","2,500",40,45,250001,500001,1.396,1.317
"CW","2,500",40,45,500001,2147483647,1.444,1.36
"CW","2,500",45,50,0,100001,1.148,1.096
"CW","2,500",45,50,100001,250001,1.278,1.214
"CW","2,500",45,50,250001,500001,1.317,1.25
"CW","2,500",45,50,500001,2147483647,1.36,1.288
"CW","2,500",50,55,0,100001,1.096,1.049
"CW","2,500",50,55,100001,250001,1.214,1.158
"CW","2,500",50,55,250001,500001,1.25,1.19
"CW","2,500",50,55,500001,2147483647,1.288,1.225
"CW","2,500",55,60,0,100001,1.049,1.007
"CW","2,500",55,60,100001,250001,1.158,1.108
"CW","2,500",55,60,250001,500001,1.19,1.137
"CW","2,500",55,60,500001,2147483647,1.225,1.169
"CW","2,500",60,65,0,100001,1.007,0.97
"CW","2,500",60,65,100001,250001,1.108,1.062
"CW","2,500",60,65,250001,500001,1.137,1.089
"CW","2,500",60,65,500001,2147483647,1.169,1.12
"CW","2,500",65,70,0,100001,0.97,0.935
"CW","2,500",65,70,100001,250001,1.062,1.022
"CW","2,500",65,70,250001,500001,1.089,1.047
"CW","2,500",65,70,500001,2147483647,1.12,1.074
"CW","2,500",70,75,0,100001,0.935,0.905
"CW","2,500",70,75,100001,250001,1.022,0.986
"CW","2,500",70,75,250001,500001,1.047,1.009
"CW","2,500",70,75,500001,2147483647,1.074,1.035
"CW","2,500",75,80,0,100001,0.905,0.869
"CW","2,500",75,80,100001,250001,0.986,0.952
"CW","2,500",75,80,250001,500001,1.009,0.974
"CW","2,500",75,80,500001,2147483647,1.035,0.993
"CW","2,500",80,90,0,100001,0.869,0.826
"CW","2,500",80,90,100001,250001,0.952,0.904
"CW","2,500",80,90,250001,500001,0.974,0.925
"CW","2,500",80,90,500001,2147483647,0.993,0.943
"CW","2,500",90,100,0,100001,0.826,0.782
"CW","2,500",90,100,100001,250001,0.904,0.857
"CW","2,500",90,100,250001,500001,0.925,0.877
"CW","2,500",90,100,500001,2147483647,0.943,0.894
"CW","2,500",100,2147483647,0,100001,0.782,0.782
"CW","2,500",100,2147483647,100001,250001,0.857,0.857
"CW","2,500",100,2147483647,250001,500001,0.877,0.877
"CW","2,500",100,2147483647,500001,2147483647,0.894,0.894
"CW","5,000",1,2,0,250001,2.48,2.36
"CW","5,000",1,2,250001,500001,3.12,2.96
"CW","5,000",1,2,500001,1000001,3.44,3.24
"CW","5,000",1,2,1000001,2147483647,4.16,3.68
"CW","5,000",2,3,0,250001,2.36,2.293
"CW","5,000",2,3,250001,500001,2.96,2.827
"CW","5,000",2,3,500001,1000001,3.24,3.04
"CW","5,000",2,3,1000001,2147483647,3.68,3.413
"CW","5,000",3,4,0,250001,2.293,2.22
"CW","5,000",3,4,250001,500001,2.827,2.7
"CW","5,000",3,4,500001,1000001,3.04,2.9
"CW","5,000",3,4,1000001,2147483647,3.413,3.2
"CW","5,000",4,5,0,250001,2.22,2.16
"CW","5,000",4,5,250001,500001,2.7,2.608
"CW","5,000",4,5,500001,1000001,2.9,2.784
"CW","5,000",4,5,1000001,2147483647,3.2,3.04
"CW","5,000",5,10,0,250001,2.16,1.912
"CW","5,000",5,10,250001,500001,2.608,2.232
"CW","5,000",5,10,500001,1000001,2.784,2.352
"CW","5,000",5,10,1000001,2147483647,3.04,2.504
"CW","5,000",10,15,0,250001,1.912,1.728
"CW","5,000",10,15,250001,500001,2.232,1.984
"CW","5,000",10,15,500001,1000001,2.352,2.075
"CW","5,000",10,15,1000001,2147483647,2.504,2.187
"CW","5,000",15,20,0,250001,1.728,1.584
"CW","5,000",15,20,250001,500001,1.984,1.796
"CW","5,000",15,20,500001,1000001,2.075,1.872
"CW","5,000",15,20,1000001,2147483647,2.187,1.964
