"StateCode","Deductible","InsuranceToValueLevelPercentage_From","InsuranceToValueLevelPercentage_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW","50,000",1,2,0,1000001,1.68,1.68
"CW","50,000",1,2,1000001,3500001,2.8,2.68
"CW","50,000",1,2,3500001,5500001,3.2,3
"CW","50,000",1,2,5500001,10000001,3.44,3.2
"CW","50,000",1,2,10000001,2147483647,3.84,3.48
"CW","50,000",2,3,0,1000001,1.68,1.627
"CW","50,000",2,3,1000001,3500001,2.68,2.56
"CW","50,000",2,3,3500001,5500001,3,2.853
"CW","50,000",2,3,5500001,10000001,3.2,3.04
"CW","50,000",2,3,10000001,2147483647,3.48,3.253
"CW","50,000",3,4,0,1000001,1.627,1.6
"CW","50,000",3,4,1000001,3500001,2.56,2.48
"CW","50,000",3,4,3500001,5500001,2.853,2.72
"CW","50,000",3,4,5500001,10000001,3.04,2.88
"CW","50,000",3,4,10000001,2147483647,3.253,3.06
"CW","50,000",4,5,0,1000001,1.6,1.568
"CW","50,000",4,5,1000001,3500001,2.48,2.4
"CW","50,000",4,5,3500001,5500001,2.72,2.624
"CW","50,000",4,5,5500001,10000001,2.88,2.768
"CW","50,000",4,5,10000001,2147483647,3.06,2.928
"CW","50,000",5,10,0,1000001,1.568,1.432
"CW","50,000",5,10,1000001,3500001,2.4,2.08
"CW","50,000",5,10,3500001,5500001,2.624,2.24
"CW","50,000",5,10,5500001,10000001,2.768,2.336
"CW","50,000",5,10,10000001,2147483647,2.928,2.44
"CW","50,000",10,15,0,1000001,1.432,1.323
"CW","50,000",10,15,1000001,3500001,2.08,1.861
"CW","50,000",10,15,3500001,5500001,2.24,1.989
"CW","50,000",10,15,5500001,10000001,2.336,2.064
"CW","50,000",10,15,10000001,2147483647,2.44,2.139
"CW","50,000",15,20,0,1000001,1.323,1.232
"CW","50,000",15,20,1000001,3500001,1.861,1.696
"CW","50,000",15,20,3500001,5500001,1.989,1.8
"CW","50,000",15,20,5500001,10000001,2.064,1.864
"CW","50,000",15,20,10000001,2147483647,2.139,1.924
