"StateCode","EQDeductibleTier","EQClass","EQDeductible","EQSubLimitPct_From","EQSubLimitPct_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW",1,"1C","2,500",1,2,0,100001,2.48,2.36
"CW",1,"1C","2,500",1,2,100001,250001,4.16,3.76
"CW",1,"1C","2,500",1,2,250001,500001,5.28,4.6
"CW",1,"1C","2,500",1,2,500001,2147483647,8.4,6.52
"CW",1,"1C","2,500",2,3,0,100001,2.36,2.293
"CW",1,"1C","2,500",2,3,100001,250001,3.76,3.493
"CW",1,"1C","2,500",2,3,250001,500001,4.6,4.16
"CW",1,"1C","2,500",2,3,500001,2147483647,6.52,5.547
"CW",1,"1C","2,500",3,4,0,100001,2.293,2.2
"CW",1,"1C","2,500",3,4,100001,250001,3.493,3.26
"CW",1,"1C","2,500",3,4,250001,500001,4.16,3.82
"CW",1,"1C","2,500",3,4,500001,2147483647,5.547,4.94
"CW",1,"1C","2,500",4,5,0,100001,2.2,2.128
"CW",1,"1C","2,500",4,5,100001,250001,3.26,3.088
"CW",1,"1C","2,500",4,5,250001,500001,3.82,3.568
"CW",1,"1C","2,500",4,5,500001,2147483647,4.94,4.496
"CW",1,"1C","2,500",5,10,0,100001,2.128,1.856
"CW",1,"1C","2,500",5,10,100001,250001,3.088,2.496
"CW",1,"1C","2,500",5,10,250001,500001,3.568,2.784
"CW",1,"1C","2,500",5,10,500001,2147483647,4.496,3.304
"CW",1,"1C","2,500",10,15,0,100001,1.856,1.675
"CW",1,"1C","2,500",10,15,100001,250001,2.496,2.155
"CW",1,"1C","2,500",10,15,250001,500001,2.784,2.368
"CW",1,"1C","2,500",10,15,500001,2147483647,3.304,2.725
"CW",1,"1C","2,500",15,20,0,100001,1.675,1.536
"CW",1,"1C","2,500",15,20,100001,250001,2.155,1.928
"CW",1,"1C","2,500",15,20,250001,500001,2.368,2.092
"CW",1,"1C","2,500",15,20,500001,2147483647,2.725,2.368
"CW",1,"1C","2,500",20,25,0,100001,1.536,1.43
"CW",1,"1C","2,500",20,25,100001,250001,1.928,1.76
"CW",1,"1C","2,500",20,25,250001,500001,2.092,1.894
"CW",1,"1C","2,500",20,25,500001,2147483647,2.368,2.118
"CW",1,"1C","2,500",25,30,0,100001,1.43,1.349
"CW",1,"1C","2,500",25,30,100001,250001,1.76,1.629
"CW",1,"1C","2,500",25,30,250001,500001,1.894,1.744
"CW",1,"1C","2,500",25,30,500001,2147483647,2.118,1.933
"CW",1,"1C","2,500",30,35,0,100001,1.349,1.28
"CW",1,"1C","2,500",30,35,100001,250001,1.629,1.525
"CW",1,"1C","2,500",30,35,250001,500001,1.744,1.625
"CW",1,"1C","2,500",30,35,500001,2147483647,1.933,1.787
"CW",1,"1C","2,500",35,40,0,100001,1.28,1.222
"CW",1,"1C","2,500",35,40,100001,250001,1.525,1.44
"CW",1,"1C","2,500",35,40,250001,500001,1.625,1.53
"CW",1,"1C","2,500",35,40,500001,2147483647,1.787,1.672
"CW",1,"1C","2,500",40,45,0,100001,1.222,1.175
"CW",1,"1C","2,500",40,45,100001,250001,1.44,1.371
"CW",1,"1C","2,500",40,45,250001,500001,1.53,1.451
"CW",1,"1C","2,500",40,45,500001,2147483647,1.672,1.577
"CW",1,"1C","2,500",45,50,0,100001,1.175,1.134
"CW",1,"1C","2,500",45,50,100001,250001,1.371,1.31
"CW",1,"1C","2,500",45,50,250001,500001,1.451,1.382
"CW",1,"1C","2,500",45,50,500001,2147483647,1.577,1.498
"CW",1,"1C","2,500",50,55,0,100001,1.134,1.101
"CW",1,"1C","2,500",50,55,100001,250001,1.31,1.261
"CW",1,"1C","2,500",50,55,250001,500001,1.382,1.327
"CW",1,"1C","2,500",50,55,500001,2147483647,1.498,1.431
"CW",1,"1C","2,500",55,60,0,100001,1.101,1.073
"CW",1,"1C","2,500",55,60,100001,250001,1.261,1.219
"CW",1,"1C","2,500",55,60,250001,500001,1.327,1.279
"CW",1,"1C","2,500",55,60,500001,2147483647,1.431,1.375
"CW",1,"1C","2,500",60,65,0,100001,1.073,1.05
"CW",1,"1C","2,500",60,65,100001,250001,1.219,1.183
"CW",1,"1C","2,500",60,65,250001,500001,1.279,1.238
"CW",1,"1C","2,500",60,65,500001,2147483647,1.375,1.327
"CW",1,"1C","2,500",65,70,0,100001,1.05,1.032
"CW",1,"1C","2,500",65,70,100001,250001,1.183,1.153
"CW",1,"1C","2,500",65,70,250001,500001,1.238,1.205
"CW",1,"1C","2,500",65,70,500001,2147483647,1.327,1.287
"CW",1,"1C","2,500",70,75,0,100001,1.032,1.019
"CW",1,"1C","2,500",70,75,100001,250001,1.153,1.129
"CW",1,"1C","2,500",70,75,250001,500001,1.205,1.177
"CW",1,"1C","2,500",70,75,500001,2147483647,1.287,1.253
"CW",1,"1C","2,500",75,2147483647,0,100001,1.019,1.019
"CW",1,"1C","2,500",75,2147483647,100001,250001,1.129,1.129
"CW",1,"1C","2,500",75,2147483647,250001,500001,1.177,1.177
"CW",1,"1C","2,500",75,2147483647,500001,2147483647,1.253,1.253
