"StateCode","EQDeductibleTier","EQClass","EQDeductible","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor"
"CW",1,"3A","50,000",5500001,10000001,1.184
"CW",1,"3A","50,000",10000001,2147483647,1.247
"CW",1,"3A","75,000",0,1000001,0.797
"CW",1,"3A","75,000",1000001,3500001,1.053
"CW",1,"3A","75,000",3500001,5500001,1.123
"CW",1,"3A","75,000",5500001,10000001,1.162
"CW",1,"3A","75,000",10000001,2147483647,1.243
"CW",1,"3A","100,000",0,1000001,0.728
"CW",1,"3A","100,000",1000001,3500001,1.017
"CW",1,"3A","100,000",3500001,5500001,1.097
"CW",1,"3A","100,000",5500001,10000001,1.143
"CW",1,"3A","100,000",10000001,2147483647,1.239
"CW",1,"3A","250,000",0,1000001,0.446
"CW",1,"3A","250,000",1000001,3500001,0.862
"CW",1,"3A","250,000",3500001,5500001,0.984
"CW",1,"3A","250,000",5500001,10000001,1.057
"CW",1,"3A","250,000",10000001,2147483647,1.22
"CW",1,"3A","500,000",0,1000001,0.324
"CW",1,"3A","500,000",1000001,3500001,0.701
"CW",1,"3A","500,000",3500001,5500001,0.862
"CW",1,"3A","500,000",5500001,10000001,0.961
"CW",1,"3A","500,000",10000001,2147483647,1.196
"CW",1,"3A","750,000",0,1000001,0.264
"CW",1,"3A","750,000",1000001,3500001,0.584
"CW",1,"3A","750,000",3500001,5500001,0.773
"CW",1,"3A","750,000",5500001,10000001,0.889
"CW",1,"3A","750,000",10000001,2147483647,1.177
"CW",1,"3A","1,000,000",0,1000001,0
"CW",1,"3A","1,000,000",1000001,3500001,0.489
"CW",1,"3A","1,000,000",3500001,5500001,0.701
"CW",1,"3A","1,000,000",5500001,10000001,0.831
"CW",1,"3A","1,000,000",10000001,2147483647,1.16
"CW",1,"3B","500",0,50001,1.107
"CW",1,"3B","500",50001,100001,1.183
"CW",1,"3B","500",100001,250001,1.216
"CW",1,"3B","500",250001,2147483647,1.262
"CW",1,"3B","1,000",0,50001,1.031
"CW",1,"3B","1,000",50001,100001,1.14
"CW",1,"3B","1,000",100001,250001,1.19
"CW",1,"3B","1,000",250001,2147483647,1.261
"CW",1,"3B","2,500",0,100001,1
"CW",1,"3B","2,500",100001,250001,1.135
"CW",1,"3B","2,500",250001,500001,1.183
"CW",1,"3B","2,500",500001,2147483647,1.26
"CW",1,"3B","5,000",0,100001,1.031
"CW",1,"3B","5,000",100001,250001,1.14
"CW",1,"3B","5,000",250001,500001,1.183
"CW",1,"3B","5,000",500001,2147483647,1.259
"CW",1,"3B","10,000",0,250001,0.924
"CW",1,"3B","10,000",250001,500001,1.079
"CW",1,"3B","10,000",500001,1000001,1.14
"CW",1,"3B","10,000",1000001,5000001,1.211
"CW",1,"3B","10,000",5000001,2147483647,1.257
"CW",1,"3B","25,000",0,500001,0.883
"CW",1,"3B","25,000",500001,1000001,1.053
"CW",1,"3B","25,000",1000001,5000001,1.171
"CW",1,"3B","25,000",5000001,10000001,1.211
"CW",1,"3B","25,000",10000001,2147483647,1.253
"CW",1,"3B","50,000",0,1000001,0.882
"CW",1,"3B","50,000",1000001,3500001,1.097
"CW",1,"3B","50,000",3500001,5500001,1.153
"CW",1,"3B","50,000",5500001,10000001,1.184
"CW",1,"3B","50,000",10000001,2147483647,1.247
"CW",1,"3B","75,000",0,1000001,0.797
"CW",1,"3B","75,000",1000001,3500001,1.053
"CW",1,"3B","75,000",3500001,5500001,1.123
"CW",1,"3B","75,000",5500001,10000001,1.162
"CW",1,"3B","75,000",10000001,2147483647,1.243
"CW",1,"3B","100,000",0,1000001,0.728
"CW",1,"3B","100,000",1000001,3500001,1.017
"CW",1,"3B","100,000",3500001,5500001,1.097
"CW",1,"3B","100,000",5500001,10000001,1.143
"CW",1,"3B","100,000",10000001,2147483647,1.239
"CW",1,"3B","250,000",0,1000001,0.446
"CW",1,"3B","250,000",1000001,3500001,0.862
"CW",1,"3B","250,000",3500001,5500001,0.984
"CW",1,"3B","250,000",5500001,10000001,1.057
"CW",1,"3B","250,000",10000001,2147483647,1.22
"CW",1,"3B","500,000",0,1000001,0.324
"CW",1,"3B","500,000",1000001,3500001,0.701
"CW",1,"3B","500,000",3500001,5500001,0.862
"CW",1,"3B","500,000",5500001,10000001,0.961
"CW",1,"3B","500,000",10000001,2147483647,1.196
"CW",1,"3B","750,000",0,1000001,0.264
"CW",1,"3B","750,000",1000001,3500001,0.584
"CW",1,"3B","750,000",3500001,5500001,0.773
"CW",1,"3B","750,000",5500001,10000001,0.889
"CW",1,"3B","750,000",10000001,2147483647,1.177
"CW",1,"3B","1,000,000",0,1000001,0
"CW",1,"3B","1,000,000",1000001,3500001,0.489
"CW",1,"3B","1,000,000",3500001,5500001,0.701
"CW",1,"3B","1,000,000",5500001,10000001,0.831
"CW",1,"3B","1,000,000",10000001,2147483647,1.16
"CW",1,"3C","500",0,50001,1.208
"CW",1,"3C","500",50001,100001,1.278
"CW",1,"3C","500",100001,250001,1.309
"CW",1,"3C","500",250001,2147483647,1.354
"CW",1,"3C","1,000",0,50001,1.109
"CW",1,"3C","1,000",50001,100001,1.222
"CW",1,"3C","1,000",100001,250001,1.274
"CW",1,"3C","1,000",250001,2147483647,1.354
"CW",1,"3C","2,500",0,100001,1.109
"CW",1,"3C","2,500",100001,250001,1.234
"CW",1,"3C","2,500",250001,500001,1.278
