"StateCode","EQDeductibleTier","EQClass","EQDeductible","Factor"
"CW",2,"3B","30%",0.3
"CW",2,"3B","35%",0.25
"CW",2,"3B","40%",0.2
"CW",2,"3C","5%",1
"CW",2,"3C","10%",1
"CW",2,"3C","15%",0.8
"CW",2,"3C","20%",0.65
"CW",2,"3C","25%",0.5
"CW",2,"3C","30%",0.4
"CW",2,"3C","35%",0.3
"CW",2,"3C","40%",0.25
"CW",2,"4A","5%",1
"CW",2,"4A","10%",0.6
"CW",2,"4A","15%",0.4
"CW",2,"4A","20%",0.3
"CW",2,"4A","25%",0.2
"CW",2,"4A","30%",0.15
"CW",2,"4A","35%",0.1
"CW",2,"4A","40%",0.05
"CW",2,"4B","5%",1
"CW",2,"4B","10%",0.7
"CW",2,"4B","15%",0.5
"CW",2,"4B","20%",0.35
"CW",2,"4B","25%",0.25
"CW",2,"4B","30%",0.2
"CW",2,"4B","35%",0.15
"CW",2,"4B","40%",0.1
"CW",2,"4C","5%",1
"CW",2,"4C","10%",1
"CW",2,"4C","15%",0.8
"CW",2,"4C","20%",0.65
"CW",2,"4C","25%",0.5
"CW",2,"4C","30%",0.4
"CW",2,"4C","35%",0.3
"CW",2,"4C","40%",0.25
"CW",2,"4D","5%",1
"CW",2,"4D","10%",1
"CW",2,"4D","15%",0.8
"CW",2,"4D","20%",0.65
"CW",2,"4D","25%",0.5
"CW",2,"4D","30%",0.4
"CW",2,"4D","35%",0.3
"CW",2,"4D","40%",0.25
"CW",2,"5A","5%",1
"CW",2,"5A","10%",0.7
"CW",2,"5A","15%",0.5
"CW",2,"5A","20%",0.35
"CW",2,"5A","25%",0.25
"CW",2,"5A","30%",0.2
"CW",2,"5A","35%",0.15
"CW",2,"5A","40%",0.1
"CW",2,"5AA","5%",1
"CW",2,"5AA","10%",1
"CW",2,"5AA","15%",0.7
"CW",2,"5AA","20%",0.5
"CW",2,"5AA","25%",0.4
"CW",2,"5AA","30%",0.25
"CW",2,"5AA","35%",0.2
"CW",2,"5AA","40%",0.15
"CW",2,"5B","5%",1
"CW",2,"5B","10%",1
"CW",2,"5B","15%",0.8
"CW",2,"5B","20%",0.65
"CW",2,"5B","25%",0.5
"CW",2,"5B","30%",0.4
"CW",2,"5B","35%",0.3
"CW",2,"5B","40%",0.25
"CW",2,"5C","5%",1
"CW",2,"5C","10%",1
"CW",2,"5C","15%",0.8
"CW",2,"5C","20%",0.65
"CW",2,"5C","25%",0.5
"CW",2,"5C","30%",0.4
"CW",2,"5C","35%",0.3
"CW",2,"5C","40%",0.25
"CW",3,"1C","5%",1
"CW",3,"1C","10%",0.7
"CW",3,"1C","15%",0.5
"CW",3,"1C","20%",0.4
"CW",3,"1C","25%",0.3
"CW",3,"1C","30%",0.2
"CW",3,"1C","35%",0.15
"CW",3,"1C","40%",0.1
"CW",3,"1D","5%",1
"CW",3,"1D","10%",0.7
"CW",3,"1D","15%",0.5
"CW",3,"1D","20%",0.4
"CW",3,"1D","25%",0.3
"CW",3,"1D","30%",0.2
"CW",3,"1D","35%",0.15
"CW",3,"1D","40%",0.1
"CW",3,"2A","5%",1
"CW",3,"2A","10%",0.5
"CW",3,"2A","15%",0.3
"CW",3,"2A","20%",0.15
"CW",3,"2A","25%",0.1
"CW",3,"2A","30%",0.05
"CW",3,"2A","35%",0.05
"CW",3,"2A","40%",0.05
"CW",3,"2B","5%",1
"CW",3,"2B","10%",0.5
"CW",3,"2B","15%",0.3
"CW",3,"2B","20%",0.15
"CW",3,"2B","25%",0.1
"CW",3,"2B","30%",0.05
"CW",3,"2B","35%",0.05
"CW",3,"2B","40%",0.05
"CW",3,"3A","5%",1
"CW",3,"3A","10%",0.6
"CW",3,"3A","15%",0.35
"CW",3,"3A","20%",0.2
"CW",3,"3A","25%",0.15
"CW",3,"3A","30%",0.1
"CW",3,"3A","35%",0.05
"CW",3,"3A","40%",0.05
"CW",3,"3B","5%",1
"CW",3,"3B","10%",0.7
"CW",3,"3B","15%",0.5
"CW",3,"3B","20%",0.4
"CW",3,"3B","25%",0.3
"CW",3,"3B","30%",0.2
"CW",3,"3B","35%",0.15
"CW",3,"3B","40%",0.1
"CW",3,"3C","5%",1
