"StateCode","Deductible","InsuranceToValueLevelPercentage_From","InsuranceToValueLevelPercentage_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW","1,000",10,15,50001,100001,2.288,2.037
"CW","1,000",10,15,100001,250001,2.4,2.117
"CW","1,000",10,15,250001,2147483647,2.527,2.202
"CW","1,000",15,20,0,50001,1.84,1.688
"CW","1,000",15,20,50001,100001,2.037,1.844
"CW","1,000",15,20,100001,250001,2.117,1.908
"CW","1,000",15,20,250001,2147483647,2.202,1.972
"CW","1,000",20,25,0,50001,1.688,1.565
"CW","1,000",20,25,50001,100001,1.844,1.696
"CW","1,000",20,25,100001,250001,1.908,1.747
"CW","1,000",20,25,250001,2147483647,1.972,1.797
"CW","1,000",25,30,0,50001,1.565,1.464
"CW","1,000",25,30,50001,100001,1.696,1.573
"CW","1,000",25,30,100001,250001,1.747,1.616
"CW","1,000",25,30,250001,2147483647,1.797,1.658
"CW","1,000",30,35,0,50001,1.464,1.376
"CW","1,000",30,35,50001,100001,1.573,1.47
"CW","1,000",30,35,100001,250001,1.616,1.506
"CW","1,000",30,35,250001,2147483647,1.658,1.543
"CW","1,000",35,40,0,50001,1.376,1.3
"CW","1,000",35,40,50001,100001,1.47,1.384
"CW","1,000",35,40,100001,250001,1.506,1.414
"CW","1,000",35,40,250001,2147483647,1.543,1.445
"CW","1,000",40,45,0,50001,1.3,1.236
"CW","1,000",40,45,50001,100001,1.384,1.308
"CW","1,000",40,45,100001,250001,1.414,1.335
"CW","1,000",40,45,250001,2147483647,1.445,1.363
"CW","1,000",45,50,0,50001,1.236,1.178
"CW","1,000",45,50,50001,100001,1.308,1.242
"CW","1,000",45,50,100001,250001,1.335,1.266
"CW","1,000",45,50,250001,2147483647,1.363,1.29
"CW","1,000",50,55,0,50001,1.178,1.126
"CW","1,000",50,55,50001,100001,1.242,1.184
"CW","1,000",50,55,100001,250001,1.266,1.206
"CW","1,000",50,55,250001,2147483647,1.29,1.227
"CW","1,000",55,60,0,50001,1.126,1.08
"CW","1,000",55,60,50001,100001,1.184,1.132
"CW","1,000",55,60,100001,250001,1.206,1.152
"CW","1,000",55,60,250001,2147483647,1.227,1.171
"CW","1,000",60,65,0,50001,1.08,1.039
"CW","1,000",60,65,50001,100001,1.132,1.086
"CW","1,000",60,65,100001,250001,1.152,1.104
