"StateCode","EQDeductibleTier","EQClass","EQDeductible","EQSubLimitPct_From","EQSubLimitPct_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW",1,"1C","500,000",1,2,0,1000001,0.72,0.76
"CW",1,"1C","500,000",1,2,1000001,3500001,1.12,1.12
"CW",1,"1C","500,000",1,2,3500001,5500001,1.6,1.6
"CW",1,"1C","500,000",1,2,5500001,10000001,2.16,2.08
"CW",1,"1C","500,000",1,2,10000001,2147483647,3.36,3.12
"CW",1,"1C","500,000",2,3,0,1000001,0.76,0.747
"CW",1,"1C","500,000",2,3,1000001,3500001,1.12,1.093
"CW",1,"1C","500,000",2,3,3500001,5500001,1.6,1.547
"CW",1,"1C","500,000",2,3,5500001,10000001,2.08,2.027
"CW",1,"1C","500,000",2,3,10000001,2147483647,3.12,2.933
"CW",1,"1C","500,000",3,4,0,1000001,0.747,0.76
"CW",1,"1C","500,000",3,4,1000001,3500001,1.093,1.08
"CW",1,"1C","500,000",3,4,3500001,5500001,1.547,1.52
"CW",1,"1C","500,000",3,4,5500001,10000001,2.027,1.96
"CW",1,"1C","500,000",3,4,10000001,2147483647,2.933,2.8
"CW",1,"1C","500,000",4,5,0,1000001,0.76,0.768
"CW",1,"1C","500,000",4,5,1000001,3500001,1.08,1.072
"CW",1,"1C","500,000",4,5,3500001,5500001,1.52,1.504
"CW",1,"1C","500,000",4,5,5500001,10000001,1.96,1.904
"CW",1,"1C","500,000",4,5,10000001,2147483647,2.8,2.672
"CW",1,"1C","500,000",5,10,0,1000001,0.768,0.768
"CW",1,"1C","500,000",5,10,1000001,3500001,1.072,1.016
"CW",1,"1C","500,000",5,10,3500001,5500001,1.504,1.376
"CW",1,"1C","500,000",5,10,5500001,10000001,1.904,1.688
"CW",1,"1C","500,000",5,10,10000001,2147483647,2.672,2.224
"CW",1,"1C","500,000",10,15,0,1000001,0.768,0.773
"CW",1,"1C","500,000",10,15,1000001,3500001,1.016,0.976
"CW",1,"1C","500,000",10,15,3500001,5500001,1.376,1.28
"CW",1,"1C","500,000",10,15,5500001,10000001,1.688,1.541
"CW",1,"1C","500,000",10,15,10000001,2147483647,2.224,1.957
"CW",1,"1C","500,000",15,20,0,1000001,0.773,0.784
"CW",1,"1C","500,000",15,20,1000001,3500001,0.976,0.94
"CW",1,"1C","500,000",15,20,3500001,5500001,1.28,1.208
"CW",1,"1C","500,000",15,20,5500001,10000001,1.541,1.428
"CW",1,"1C","500,000",15,20,10000001,2147483647,1.957,1.768
"CW",1,"1C","500,000",20,25,0,1000001,0.784,0.797
"CW",1,"1C","500,000",20,25,1000001,3500001,0.94,0.915
"CW",1,"1C","500,000",20,25,3500001,5500001,1.208,1.146
"CW",1,"1C","500,000",20,25,5500001,10000001,1.428,1.338
"CW",1,"1C","500,000",20,25,10000001,2147483647,1.768,1.626
"CW",1,"1C","500,000",25,30,0,1000001,0.797,0.813
"CW",1,"1C","500,000",25,30,1000001,3500001,0.915,0.891
"CW",1,"1C","500,000",25,30,3500001,5500001,1.146,1.099
"CW",1,"1C","500,000",25,30,5500001,10000001,1.338,1.264
"CW",1,"1C","500,000",25,30,10000001,2147483647,1.626,1.515
"CW",1,"1C","500,000",30,35,0,1000001,0.813,0.832
"CW",1,"1C","500,000",30,35,1000001,3500001,0.891,0.871
"CW",1,"1C","500,000",30,35,3500001,5500001,1.099,1.056
"CW",1,"1C","500,000",30,35,5500001,10000001,1.264,1.205
"CW",1,"1C","500,000",30,35,10000001,2147483647,1.515,1.426
"CW",1,"1C","500,000",35,40,0,1000001,0.832,0.81
"CW",1,"1C","500,000",35,40,1000001,3500001,0.871,0.856
"CW",1,"1C","500,000",35,40,3500001,5500001,1.056,1.022
"CW",1,"1C","500,000",35,40,5500001,10000001,1.205,1.156
"CW",1,"1C","500,000",35,40,10000001,2147483647,1.426,1.352
"CW",1,"1C","500,000",40,45,0,1000001,0.81,0.8
"CW",1,"1C","500,000",40,45,1000001,3500001,0.856,0.846
"CW",1,"1C","500,000",40,45,3500001,5500001,1.022,0.994
"CW",1,"1C","500,000",40,45,5500001,10000001,1.156,1.113
"CW",1,"1C","500,000",40,45,10000001,2147483647,1.352,1.291
"CW",1,"1C","500,000",45,50,0,1000001,0.8,0
"CW",1,"1C","500,000",45,50,1000001,3500001,0.846,0.837
"CW",1,"1C","500,000",45,50,3500001,5500001,0.994,0.97
"CW",1,"1C","500,000",45,50,5500001,10000001,1.113,1.078
"CW",1,"1C","500,000",45,50,10000001,2147483647,1.291,1.24
