"StateCode","EQDeductibleTier","EQClass","EQDeductible","EQSubLimitPct_From","EQSubLimitPct_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW",1,"1C","25,000",1,2,0,500001,1.76,1.72
"CW",1,"1C","25,000",1,2,500001,1000001,2.96,2.8
"CW",1,"1C","25,000",1,2,1000001,5000001,4.96,4.36
"CW",1,"1C","25,000",1,2,5000001,10000001,6.24,5.24
"CW",1,"1C","25,000",1,2,10000001,2147483647,7.28,5.92
"CW",1,"1C","25,000",2,3,0,500001,1.72,1.68
"CW",1,"1C","25,000",2,3,500001,1000001,2.8,2.667
"CW",1,"1C","25,000",2,3,1000001,5000001,4.36,3.973
"CW",1,"1C","25,000",2,3,5000001,10000001,5.24,4.64
"CW",1,"1C","25,000",2,3,10000001,2147483647,5.92,5.12
"CW",1,"1C","25,000",3,4,0,500001,1.68,1.64
"CW",1,"1C","25,000",3,4,500001,1000001,2.667,2.54
"CW",1,"1C","25,000",3,4,1000001,5000001,3.973,3.68
"CW",1,"1C","25,000",3,4,5000001,10000001,4.64,4.22
"CW",1,"1C","25,000",3,4,10000001,2147483647,5.12,4.6
"CW",1,"1C","25,000",4,5,0,500001,1.64,1.616
"CW",1,"1C","25,000",4,5,500001,1000001,2.54,2.432
"CW",1,"1C","25,000",4,5,1000001,5000001,3.68,3.44
"CW",1,"1C","25,000",4,5,5000001,10000001,4.22,3.904
"CW",1,"1C","25,000",4,5,10000001,2147483647,4.6,4.224
"CW",1,"1C","25,000",5,10,0,500001,1.616,1.464
"CW",1,"1C","25,000",5,10,500001,1000001,2.432,2.072
"CW",1,"1C","25,000",5,10,1000001,5000001,3.44,2.712
"CW",1,"1C","25,000",5,10,5000001,10000001,3.904,2.976
"CW",1,"1C","25,000",5,10,10000001,2147483647,4.224,3.16
"CW",1,"1C","25,000",10,15,0,500001,1.464,1.36
"CW",1,"1C","25,000",10,15,500001,1000001,2.072,1.84
"CW",1,"1C","25,000",10,15,1000001,5000001,2.712,2.315
"CW",1,"1C","25,000",10,15,5000001,10000001,2.976,2.501
"CW",1,"1C","25,000",10,15,10000001,2147483647,3.16,2.624
"CW",1,"1C","25,000",15,20,0,500001,1.36,1.272
"CW",1,"1C","25,000",15,20,500001,1000001,1.84,1.672
"CW",1,"1C","25,000",15,20,1000001,5000001,2.315,2.048
"CW",1,"1C","25,000",15,20,5000001,10000001,2.501,2.196
"CW",1,"1C","25,000",15,20,10000001,2147483647,2.624,2.292
"CW",1,"1C","25,000",20,25,0,500001,1.272,1.206
"CW",1,"1C","25,000",20,25,500001,1000001,1.672,1.546
"CW",1,"1C","25,000",20,25,1000001,5000001,2.048,1.859
"CW",1,"1C","25,000",20,25,5000001,10000001,2.196,1.981
"CW",1,"1C","25,000",20,25,10000001,2147483647,2.292,2.058
"CW",1,"1C","25,000",25,30,0,500001,1.206,1.152
"CW",1,"1C","25,000",25,30,500001,1000001,1.546,1.445
"CW",1,"1C","25,000",25,30,1000001,5000001,1.859,1.715
"CW",1,"1C","25,000",25,30,5000001,10000001,1.981,1.816
"CW",1,"1C","25,000",25,30,10000001,2147483647,2.058,1.883
"CW",1,"1C","25,000",30,35,0,500001,1.152,1.106
"CW",1,"1C","25,000",30,35,500001,1000001,1.445,1.365
"CW",1,"1C","25,000",30,35,1000001,5000001,1.715,1.6
"CW",1,"1C","25,000",30,35,5000001,10000001,1.816,1.689
"CW",1,"1C","25,000",30,35,10000001,2147483647,1.883,1.744
"CW",1,"1C","25,000",35,40,0,500001,1.106,1.068
"CW",1,"1C","25,000",35,40,500001,1000001,1.365,1.298
"CW",1,"1C","25,000",35,40,1000001,5000001,1.6,1.506
"CW",1,"1C","25,000",35,40,5000001,10000001,1.689,1.584
"CW",1,"1C","25,000",35,40,10000001,2147483647,1.744,1.634
"CW",1,"1C","25,000",40,45,0,500001,1.068,1.036
"CW",1,"1C","25,000",40,45,500001,1000001,1.298,1.243
"CW",1,"1C","25,000",40,45,1000001,5000001,1.506,1.429
"CW",1,"1C","25,000",40,45,5000001,10000001,1.584,1.499
"CW",1,"1C","25,000",40,45,10000001,2147483647,1.634,1.543
"CW",1,"1C","25,000",45,50,0,500001,1.036,1.01
"CW",1,"1C","25,000",45,50,500001,1000001,1.243,1.195
"CW",1,"1C","25,000",45,50,1000001,5000001,1.429,1.365
"CW",1,"1C","25,000",45,50,5000001,10000001,1.499,1.427
"CW",1,"1C","25,000",45,50,10000001,2147483647,1.543,1.467
"CW",1,"1C","25,000",50,55,0,500001,1.01,0.988
"CW",1,"1C","25,000",50,55,500001,1000001,1.195,1.156
"CW",1,"1C","25,000",50,55,1000001,5000001,1.365,1.311
"CW",1,"1C","25,000",50,55,5000001,10000001,1.427,1.367
"CW",1,"1C","25,000",50,55,10000001,2147483647,1.467,1.404
"CW",1,"1C","25,000",55,60,0,500001,0.988,0.971
"CW",1,"1C","25,000",55,60,500001,1000001,1.156,1.123
"CW",1,"1C","25,000",55,60,1000001,5000001,1.311,1.264
"CW",1,"1C","25,000",55,60,5000001,10000001,1.367,1.316
"CW",1,"1C","25,000",55,60,10000001,2147483647,1.404,1.349
"CW",1,"1C","25,000",60,65,0,500001,0.971,0.959
"CW",1,"1C","25,000",60,65,500001,1000001,1.123,1.094
"CW",1,"1C","25,000",60,65,1000001,5000001,1.264,1.225
"CW",1,"1C","25,000",60,65,5000001,10000001,1.316,1.273
"CW",1,"1C","25,000",60,65,10000001,2147483647,1.349,1.303
"CW",1,"1C","25,000",65,70,0,500001,0.959,0.95
"CW",1,"1C","25,000",65,70,500001,1000001,1.094,1.071
"CW",1,"1C","25,000",65,70,1000001,5000001,1.225,1.191
"CW",1,"1C","25,000",65,70,5000001,10000001,1.273,1.237
"CW",1,"1C","25,000",65,70,10000001,2147483647,1.303,1.265
"CW",1,"1C","25,000",70,75,0,500001,0.95,0.947
"CW",1,"1C","25,000",70,75,500001,1000001,1.071,1.053
"CW",1,"1C","25,000",70,75,1000001,5000001,1.191,1.164
"CW",1,"1C","25,000",70,75,5000001,10000001,1.237,1.206
"CW",1,"1C","25,000",70,75,10000001,2147483647,1.265,1.232
"CW",1,"1C","25,000",75,2147483647,0,500001,0.947,0.947
"CW",1,"1C","25,000",75,2147483647,500001,1000001,1.053,1.053
"CW",1,"1C","25,000",75,2147483647,1000001,5000001,1.164,1.164
"CW",1,"1C","25,000",75,2147483647,5000001,10000001,1.206,1.206
"CW",1,"1C","25,000",75,2147483647,10000001,2147483647,1.232,1.232
"CW",1,"1D","25,000",1,2,0,500001,1.76,1.72
"CW",1,"1D","25,000",1,2,500001,1000001,2.96,2.8
"CW",1,"1D","25,000",1,2,1000001,5000001,4.96,4.36
"CW",1,"1D","25,000",1,2,5000001,10000001,6.24,5.24
"CW",1,"1D","25,000",1,2,10000001,2147483647,7.28,5.92
"CW",1,"1D","25,000",2,3,0,500001,1.72,1.68
"CW",1,"1D","25,000",2,3,500001,1000001,2.8,2.667
"CW",1,"1D","25,000",2,3,1000001,5000001,4.36,3.973
"CW",1,"1D","25,000",2,3,5000001,10000001,5.24,4.64
"CW",1,"1D","25,000",2,3,10000001,2147483647,5.92,5.12
"CW",1,"1D","25,000",3,4,0,500001,1.68,1.64
"CW",1,"1D","25,000",3,4,500001,1000001,2.667,2.54
"CW",1,"1D","25,000",3,4,1000001,5000001,3.973,3.68
"CW",1,"1D","25,000",3,4,5000001,10000001,4.64,4.22
"CW",1,"1D","25,000",3,4,10000001,2147483647,5.12,4.6
"CW",1,"1D","25,000",4,5,0,500001,1.64,1.616
"CW",1,"1D","25,000",4,5,500001,1000001,2.54,2.432
"CW",1,"1D","25,000",4,5,1000001,5000001,3.68,3.44
"CW",1,"1D","25,000",4,5,5000001,10000001,4.22,3.904
"CW",1,"1D","25,000",4,5,10000001,2147483647,4.6,4.224
"CW",1,"1D","25,000",5,10,0,500001,1.616,1.464
"CW",1,"1D","25,000",5,10,500001,1000001,2.432,2.072
"CW",1,"1D","25,000",5,10,1000001,5000001,3.44,2.712
"CW",1,"1D","25,000",5,10,5000001,10000001,3.904,2.976
"CW",1,"1D","25,000",5,10,10000001,2147483647,4.224,3.16
"CW",1,"1D","25,000",10,15,0,500001,1.464,1.36
"CW",1,"1D","25,000",10,15,500001,1000001,2.072,1.84
"CW",1,"1D","25,000",10,15,1000001,5000001,2.712,2.315
"CW",1,"1D","25,000",10,15,5000001,10000001,2.976,2.501
"CW",1,"1D","25,000",10,15,10000001,2147483647,3.16,2.624
"CW",1,"1D","25,000",15,20,0,500001,1.36,1.272
"CW",1,"1D","25,000",15,20,500001,1000001,1.84,1.672
"CW",1,"1D","25,000",15,20,1000001,5000001,2.315,2.048
"CW",1,"1D","25,000",15,20,5000001,10000001,2.501,2.196
"CW",1,"1D","25,000",15,20,10000001,2147483647,2.624,2.292
"CW",1,"1D","25,000",20,25,0,500001,1.272,1.206
"CW",1,"1D","25,000",20,25,500001,1000001,1.672,1.546
"CW",1,"1D","25,000",20,25,1000001,5000001,2.048,1.859
"CW",1,"1D","25,000",20,25,5000001,10000001,2.196,1.981
"CW",1,"1D","25,000",20,25,10000001,2147483647,2.292,2.058
"CW",1,"1D","25,000",25,30,0,500001,1.206,1.152
