"StateCode","LeaseholdInterestPct","Factor"
"CW","5%",0.99594241
"CW","6%",0.99515603
"CW","7%",0.99437764
"CW","8%",0.9936071
"CW","9%",0.99284425
"CW","10%",0.99208894
"CW","11%",0.99134104
"CW","12%",0.9906004
"CW","13%",0.98986689
"CW","14%",0.98914037
"CW","15%",0.98842073
