"StateCode","Deductible","InsuranceToValueLevelPercentage_From","InsuranceToValueLevelPercentage_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW","1,000,000",1,2,0,1500001,0.48,0.44
"CW","1,000,000",1,2,1500001,2000001,0.56,0.56
"CW","1,000,000",1,2,2000001,3500001,0.8,0.76
"CW","1,000,000",1,2,3500001,5500001,1.12,1.08
"CW","1,000,000",1,2,5500001,10000001,1.52,1.48
"CW","1,000,000",1,2,10000001,2147483647,2.24,2.16
"CW","1,000,000",2,3,0,1500001,0.44,0.453
"CW","1,000,000",2,3,1500001,2000001,0.56,0.533
"CW","1,000,000",2,3,2000001,3500001,0.76,0.773
"CW","1,000,000",2,3,3500001,5500001,1.08,1.067
"CW","1,000,000",2,3,5500001,10000001,1.48,1.44
"CW","1,000,000",2,3,10000001,2147483647,2.16,2.107
"CW","1,000,000",3,4,0,1500001,0.453,0.44
"CW","1,000,000",3,4,1500001,2000001,0.533,0.54
"CW","1,000,000",3,4,2000001,3500001,0.773,0.76
"CW","1,000,000",3,4,3500001,5500001,1.067,1.04
"CW","1,000,000",3,4,5500001,10000001,1.44,1.42
"CW","1,000,000",3,4,10000001,2147483647,2.107,2.04
"CW","1,000,000",4,5,0,1500001,0.44,0.448
"CW","1,000,000",4,5,1500001,2000001,0.54,0.544
"CW","1,000,000",4,5,2000001,3500001,0.76,0.752
"CW","1,000,000",4,5,3500001,5500001,1.04,1.04
"CW","1,000,000",4,5,5500001,10000001,1.42,1.392
"CW","1,000,000",4,5,10000001,2147483647,2.04,1.984
"CW","1,000,000",5,10,0,1500001,0.448,0.44
"CW","1,000,000",5,10,1500001,2000001,0.544,0.528
"CW","1,000,000",5,10,2000001,3500001,0.752,0.712
"CW","1,000,000",5,10,3500001,5500001,1.04,0.968
"CW","1,000,000",5,10,5500001,10000001,1.392,1.28
"CW","1,000,000",5,10,10000001,2147483647,1.984,1.768
"CW","1,000,000",10,15,0,1500001,0.44,0.448
"CW","1,000,000",10,15,1500001,2000001,0.528,0.512
"CW","1,000,000",10,15,2000001,3500001,0.712,0.683
"CW","1,000,000",10,15,3500001,5500001,0.968,0.917
"CW","1,000,000",10,15,5500001,10000001,1.28,1.189
"CW","1,000,000",10,15,10000001,2147483647,1.768,1.611
"CW","1,000,000",15,20,0,1500001,0.448,0.448
