"StateCode","Deductible","InsuranceToValueLevelPercentage_From","InsuranceToValueLevelPercentage_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW","100,000",1,2,0,750001,1.04,1.04
"CW","100,000",1,2,750001,1000001,1.6,1.56
"CW","100,000",1,2,1000001,3500001,2.32,2.24
"CW","100,000",1,2,3500001,5500001,2.8,2.68
"CW","100,000",1,2,5500001,10000001,3.12,2.96
"CW","100,000",1,2,10000001,2147483647,3.6,3.32
"CW","100,000",2,3,0,750001,1.04,1.04
"CW","100,000",2,3,750001,1000001,1.56,1.52
"CW","100,000",2,3,1000001,3500001,2.24,2.16
"CW","100,000",2,3,3500001,5500001,2.68,2.56
"CW","100,000",2,3,5500001,10000001,2.96,2.8
"CW","100,000",2,3,10000001,2147483647,3.32,3.12
"CW","100,000",3,4,0,750001,1.04,1.02
"CW","100,000",3,4,750001,1000001,1.52,1.5
"CW","100,000",3,4,1000001,3500001,2.16,2.12
"CW","100,000",3,4,3500001,5500001,2.56,2.48
"CW","100,000",3,4,5500001,10000001,2.8,2.7
"CW","100,000",3,4,10000001,2147483647,3.12,2.96
"CW","100,000",4,5,0,750001,1.02,1.008
"CW","100,000",4,5,750001,1000001,1.5,1.472
"CW","100,000",4,5,1000001,3500001,2.12,2.048
"CW","100,000",4,5,3500001,5500001,2.48,2.384
"CW","100,000",4,5,5500001,10000001,2.7,2.592
"CW","100,000",4,5,10000001,2147483647,2.96,2.816
"CW","100,000",5,10,0,750001,1.008,0.944
"CW","100,000",5,10,750001,1000001,1.472,1.352
"CW","100,000",5,10,1000001,3500001,2.048,1.824
"CW","100,000",5,10,3500001,5500001,2.384,2.08
"CW","100,000",5,10,5500001,10000001,2.592,2.224
"CW","100,000",5,10,10000001,2147483647,2.816,2.376
"CW","100,000",10,15,0,750001,0.944,0.896
"CW","100,000",10,15,750001,1000001,1.352,1.253
"CW","100,000",10,15,1000001,3500001,1.824,1.653
"CW","100,000",10,15,3500001,5500001,2.08,1.861
"CW","100,000",10,15,5500001,10000001,2.224,1.973
"CW","100,000",10,15,10000001,2147483647,2.376,2.091
"CW","100,000",15,20,0,750001,0.896,0.852
"CW","100,000",15,20,750001,1000001,1.253,1.172
"CW","100,000",15,20,1000001,3500001,1.653,1.52
"CW","100,000",15,20,3500001,5500001,1.861,1.692
"CW","100,000",15,20,5500001,10000001,1.973,1.788
"CW","100,000",15,20,10000001,2147483647,2.091,1.884
"CW","100,000",20,25,0,750001,0.852,0.813
"CW","100,000",20,25,750001,1000001,1.172,1.104
"CW","100,000",20,25,1000001,3500001,1.52,1.411
"CW","100,000",20,25,3500001,5500001,1.692,1.562
"CW","100,000",20,25,5500001,10000001,1.788,1.642
"CW","100,000",20,25,10000001,2147483647,1.884,1.725
"CW","100,000",25,30,0,750001,0.813,0.781
"CW","100,000",25,30,750001,1000001,1.104,1.045
"CW","100,000",25,30,1000001,3500001,1.411,1.32
"CW","100,000",25,30,3500001,5500001,1.562,1.453
"CW","100,000",25,30,5500001,10000001,1.642,1.523
"CW","100,000",25,30,10000001,2147483647,1.725,1.595
"CW","100,000",30,35,0,750001,0.781,0.75
"CW","100,000",30,35,750001,1000001,1.045,0.994
"CW","100,000",30,35,1000001,3500001,1.32,1.243
"CW","100,000",30,35,3500001,5500001,1.453,1.362
"CW","100,000",30,35,5500001,10000001,1.523,1.424
"CW","100,000",30,35,10000001,2147483647,1.595,1.488
"CW","100,000",35,40,0,750001,0.75,0.722
"CW","100,000",35,40,750001,1000001,0.994,0.948
"CW","100,000",35,40,1000001,3500001,1.243,1.176
"CW","100,000",35,40,3500001,5500001,1.362,1.282
"CW","100,000",35,40,5500001,10000001,1.424,1.34
"CW","100,000",35,40,10000001,2147483647,1.488,1.396
"CW","100,000",40,45,0,750001,0.722,0.699
"CW","100,000",40,45,750001,1000001,0.948,0.907
"CW","100,000",40,45,1000001,3500001,1.176,1.116
"CW","100,000",40,45,3500001,5500001,1.282,1.214
"CW","100,000",40,45,5500001,10000001,1.34,1.266
"CW","100,000",40,45,10000001,2147483647,1.396,1.317
"CW","100,000",45,50,0,750001,0.699,0.677
"CW","100,000",45,50,750001,1000001,0.907,0.87
"CW","100,000",45,50,1000001,3500001,1.116,1.064
"CW","100,000",45,50,3500001,5500001,1.214,1.155
"CW","100,000",45,50,5500001,10000001,1.266,1.202
"CW","100,000",45,50,10000001,2147483647,1.317,1.25
"CW","100,000",50,55,0,750001,0.677,0.657
"CW","100,000",50,55,750001,1000001,0.87,0.838
"CW","100,000",50,55,1000001,3500001,1.064,1.018
"CW","100,000",50,55,3500001,5500001,1.155,1.103
"CW","100,000",50,55,5500001,10000001,1.202,1.146
"CW","100,000",50,55,10000001,2147483647,1.25,1.19
"CW","100,000",55,60,0,750001,0.657,0.64
"CW","100,000",55,60,750001,1000001,0.838,0.809
"CW","100,000",55,60,1000001,3500001,1.018,0.977
"CW","100,000",55,60,3500001,5500001,1.103,1.056
"CW","100,000",55,60,5500001,10000001,1.146,1.096
"CW","100,000",55,60,10000001,2147483647,1.19,1.136
"CW","100,000",60,65,0,750001,0.64,0.625
"CW","100,000",60,65,750001,1000001,0.809,0.783
"CW","100,000",60,65,1000001,3500001,0.977,0.94
"CW","100,000",60,65,3500001,5500001,1.056,1.013
"CW","100,000",60,65,5500001,10000001,1.096,1.051
"CW","100,000",60,65,10000001,2147483647,1.136,1.089
"CW","100,000",65,70,0,750001,0.625,0.613
"CW","100,000",65,70,750001,1000001,0.783,0.76
"CW","100,000",65,70,1000001,3500001,0.94,0.907
"CW","100,000",65,70,3500001,5500001,1.013,0.976
"CW","100,000",65,70,5500001,10000001,1.051,1.01
"CW","100,000",65,70,10000001,2147483647,1.089,1.046
"CW","100,000",70,75,0,750001,0.613,0.604
"CW","100,000",70,75,750001,1000001,0.76,0.738
"CW","100,000",70,75,1000001,3500001,0.907,0.877
"CW","100,000",70,75,3500001,5500001,0.976,0.942
"CW","100,000",70,75,5500001,10000001,1.01,0.974
"CW","100,000",70,75,10000001,2147483647,1.046,1.008
"CW","100,000",75,80,0,750001,0.604,0.641
"CW","100,000",75,80,750001,1000001,0.738,0.72
"CW","100,000",75,80,1000001,3500001,0.877,0.85
"CW","100,000",75,80,3500001,5500001,0.942,0.911
"CW","100,000",75,80,5500001,10000001,0.974,0.942
"CW","100,000",75,80,10000001,2147483647,1.008,0.973
"CW","100,000",80,90,0,750001,0.641,0.609
"CW","100,000",80,90,750001,1000001,0.72,0.684
"CW","100,000",80,90,1000001,3500001,0.85,0.808
"CW","100,000",80,90,3500001,5500001,0.911,0.865
"CW","100,000",80,90,5500001,10000001,0.942,0.895
"CW","100,000",80,90,10000001,2147483647,0.973,0.924
"CW","100,000",90,100,0,750001,0.609,0
"CW","100,000",90,100,750001,1000001,0.684,0
"CW","100,000",90,100,1000001,3500001,0.808,0.765
"CW","100,000",90,100,3500001,5500001,0.865,0.82
"CW","100,000",90,100,5500001,10000001,0.895,0.848
"CW","100,000",90,100,10000001,2147483647,0.924,0.876
"CW","100,000",100,2147483647,0,750001,0,0
"CW","100,000",100,2147483647,750001,1000001,0,0
"CW","100,000",100,2147483647,1000001,3500001,0.765,0.765
"CW","100,000",100,2147483647,3500001,5500001,0.82,0.82
"CW","100,000",100,2147483647,5500001,10000001,0.848,0.848
"CW","100,000",100,2147483647,10000001,2147483647,0.876,0.876
"CW","250,000",1,2,0,750001,0.64,0.6
"CW","250,000",1,2,750001,1000001,0.96,0.92
"CW","250,000",1,2,1000001,3500001,1.6,1.56
"CW","250,000",1,2,3500001,5500001,2.16,2.08
"CW","250,000",1,2,5500001,10000001,2.56,2.44
"CW","250,000",1,2,10000001,2147483647,3.12,2.96
"CW","250,000",2,3,0,750001,0.6,0.613
"CW","250,000",2,3,750001,1000001,0.92,0.907
"CW","250,000",2,3,1000001,3500001,1.56,1.547
"CW","250,000",2,3,3500001,5500001,2.08,2.027
"CW","250,000",2,3,5500001,10000001,2.44,2.373
"CW","250,000",2,3,10000001,2147483647,2.96,2.827
"CW","250,000",3,4,0,750001,0.613,0.6
"CW","250,000",3,4,750001,1000001,0.907,0.9
"CW","250,000",3,4,1000001,3500001,1.547,1.52
"CW","250,000",3,4,3500001,5500001,2.027,1.98
"CW","250,000",3,4,5500001,10000001,2.373,2.28
"CW","250,000",3,4,10000001,2147483647,2.827,2.7
"CW","250,000",4,5,0,750001,0.6,0.592
"CW","250,000",4,5,750001,1000001,0.9,0.88
"CW","250,000",4,5,1000001,3500001,1.52,1.488
"CW","250,000",4,5,3500001,5500001,1.98,1.92
"CW","250,000",4,5,5500001,10000001,2.28,2.224
"CW","250,000",4,5,10000001,2147483647,2.7,2.592
"CW","250,000",5,10,0,750001,0.592,0.576
"CW","250,000",5,10,750001,1000001,0.88,0.84
"CW","250,000",5,10,1000001,3500001,1.488,1.368
"CW","250,000",5,10,3500001,5500001,1.92,1.72
"CW","250,000",5,10,5500001,10000001,2.224,1.952
"CW","250,000",5,10,10000001,2147483647,2.592,2.224
"CW","250,000",10,15,0,750001,0.576,0.56
"CW","250,000",10,15,750001,1000001,0.84,0.8
"CW","250,000",10,15,1000001,3500001,1.368,1.264
"CW","250,000",10,15,3500001,5500001,1.72,1.568
"CW","250,000",10,15,5500001,10000001,1.952,1.755
"CW","250,000",10,15,10000001,2147483647,2.224,1.979
"CW","250,000",15,20,0,750001,0.56,0.544
"CW","250,000",15,20,750001,1000001,0.8,0.764
"CW","250,000",15,20,1000001,3500001,1.264,1.184
"CW","250,000",15,20,3500001,5500001,1.568,1.448
"CW","250,000",15,20,5500001,10000001,1.755,1.608
"CW","250,000",15,20,10000001,2147483647,1.979,1.792
"CW","250,000",20,25,0,750001,0.544,0.531
"CW","250,000",20,25,750001,1000001,0.764,0.733
"CW","250,000",20,25,1000001,3500001,1.184,1.114
"CW","250,000",20,25,3500001,5500001,1.448,1.347
"CW","250,000",20,25,5500001,10000001,1.608,1.488
"CW","250,000",20,25,10000001,2147483647,1.792,1.645
"CW","250,000",25,30,0,750001,0.531,0.517
"CW","250,000",25,30,750001,1000001,0.733,0.704
"CW","250,000",25,30,1000001,3500001,1.114,1.053
"CW","250,000",25,30,3500001,5500001,1.347,1.264
"CW","250,000",25,30,5500001,10000001,1.488,1.387
"CW","250,000",25,30,10000001,2147483647,1.645,1.525
"CW","250,000",30,35,0,750001,0.517,0.507
"CW","250,000",30,35,750001,1000001,0.704,0.679
"CW","250,000",30,35,1000001,3500001,1.053,0.999
"CW","250,000",30,35,3500001,5500001,1.264,1.191
"CW","250,000",30,35,5500001,10000001,1.387,1.303
"CW","250,000",30,35,10000001,2147483647,1.525,1.426
"CW","250,000",35,40,0,750001,0.507,0.5
"CW","250,000",35,40,750001,1000001,0.679,0.658
"CW","250,000",35,40,1000001,3500001,0.999,0.954
"CW","250,000",35,40,3500001,5500001,1.191,1.128
"CW","250,000",35,40,5500001,10000001,1.303,1.23
"CW","250,000",35,40,10000001,2147483647,1.426,1.342
"CW","250,000",40,45,0,750001,0.5,0.494
"CW","250,000",40,45,750001,1000001,0.658,0.638
"CW","250,000",40,45,1000001,3500001,0.954,0.912
"CW","250,000",40,45,3500001,5500001,1.128,1.074
"CW","250,000",40,45,5500001,10000001,1.23,1.166
"CW","250,000",40,45,10000001,2147483647,1.342,1.268
"CW","250,000",45,50,0,750001,0.494,0.499
"CW","250,000",45,50,750001,1000001,0.638,0.621
"CW","250,000",45,50,1000001,3500001,0.912,0.875
"CW","250,000",45,50,3500001,5500001,1.074,1.026
"CW","250,000",45,50,5500001,10000001,1.166,1.11
"CW","250,000",45,50,10000001,2147483647,1.268,1.203
"CW","250,000",50,55,0,750001,0.499,0.534
"CW","250,000",50,55,750001,1000001,0.621,0.605
"CW","250,000",50,55,1000001,3500001,0.875,0.844
"CW","250,000",50,55,3500001,5500001,1.026,0.982
"CW","250,000",50,55,5500001,10000001,1.11,1.062
"CW","250,000",50,55,10000001,2147483647,1.203,1.148
"CW","250,000",55,60,0,750001,0.534,0.556
"CW","250,000",55,60,750001,1000001,0.605,0.591
"CW","250,000",55,60,1000001,3500001,0.844,0.813
"CW","250,000",55,60,3500001,5500001,0.982,0.943
"CW","250,000",55,60,5500001,10000001,1.062,1.017
"CW","250,000",55,60,10000001,2147483647,1.148,1.097
"CW","250,000",60,65,0,750001,0.556,0.551
"CW","250,000",60,65,750001,1000001,0.591,0.58
"CW","250,000",60,65,1000001,3500001,0.813,0.786
"CW","250,000",60,65,3500001,5500001,0.943,0.908
"CW","250,000",60,65,5500001,10000001,1.017,0.977
"CW","250,000",60,65,10000001,2147483647,1.097,1.052
"CW","250,000",65,70,0,750001,0.551,0.526
"CW","250,000",65,70,750001,1000001,0.58,0.585
"CW","250,000",65,70,1000001,3500001,0.786,0.763
"CW","250,000",65,70,3500001,5500001,0.908,0.878
"CW","250,000",65,70,5500001,10000001,0.977,0.942
"CW","250,000",65,70,10000001,2147483647,1.052,1.011
"CW","250,000",70,75,0,750001,0.526,0
"CW","250,000",70,75,750001,1000001,0.585,0.593
"CW","250,000",70,75,1000001,3500001,0.763,0.759
"CW","250,000",70,75,3500001,5500001,0.878,0.849
"CW","250,000",70,75,5500001,10000001,0.942,0.91
"CW","250,000",70,75,10000001,2147483647,1.011,0.976
"CW","250,000",75,80,0,750001,0,0
"CW","250,000",75,80,750001,1000001,0.593,0
"CW","250,000",75,80,1000001,3500001,0.759,0.755
"CW","250,000",75,80,3500001,5500001,0.849,0.824
"CW","250,000",75,80,5500001,10000001,0.91,0.881
"CW","250,000",75,80,10000001,2147483647,0.976,0.943
"CW","250,000",80,90,0,750001,0,0
"CW","250,000",80,90,750001,1000001,0,0
"CW","250,000",80,90,1000001,3500001,0.755,0.717
"CW","250,000",80,90,3500001,5500001,0.824,0.783
"CW","250,000",80,90,5500001,10000001,0.881,0.837
"CW","250,000",80,90,10000001,2147483647,0.943,0.896
"CW","250,000",90,100,0,750001,0,0
"CW","250,000",90,100,750001,1000001,0,0
"CW","250,000",90,100,1000001,3500001,0.717,0.68
"CW","250,000",90,100,3500001,5500001,0.783,0.742
"CW","250,000",90,100,5500001,10000001,0.837,0.793
"CW","250,000",90,100,10000001,2147483647,0.896,0.849
"CW","250,000",100,2147483647,0,750001,0,0
"CW","250,000",100,2147483647,750001,1000001,0,0
"CW","250,000",100,2147483647,1000001,3500001,0.68,0.68
"CW","250,000",100,2147483647,3500001,5500001,0.742,0.742
"CW","250,000",100,2147483647,5500001,10000001,0.793,0.793
"CW","250,000",100,2147483647,10000001,2147483647,0.849,0.849
