"StateCode","Limit_From","Limit_ToLessThan","Factor_From","Factor_ToLessThan",
"CW",0,10000,1.487,1.487
"CW",10000,20000,1.487,1.254
"CW",20000,30000,1.254,1.134
"CW",30000,40000,1.134,1.057
"CW",40000,50000,1.057,1
"CW",50000,60000,1,0.956
"CW",60000,70000,0.956,0.92
"CW",70000,80000,0.92,0.891
"CW",80000,90000,0.891,0.865
"CW",90000,100000,0.865,0.843
"CW",100000,125000,0.843,0.798
"CW",125000,150000,0.798,0.763
"CW",150000,175000,0.763,0.734
"CW",175000,200000,0.734,0.71
"CW",200000,225000,0.71,0.69
"CW",225000,250000,0.69,0.672
"CW",250000,275000,0.672,0.657
"CW",275000,300000,0.657,0.643
"CW",300000,325000,0.643,0.63
"CW",325000,350000,0.63,0.619
"CW",350000,375000,0.619,0.608
"CW",375000,400000,0.608,0.599
"CW",400000,425000,0.599,0.59
"CW",425000,450000,0.59,0.582
"CW",450000,475000,0.582,0.574
"CW",475000,500000,0.574,0.567
"CW",500000,550000,0.567,0.554
"CW",550000,600000,0.554,0.542
"CW",600000,650000,0.542,0.531
"CW",650000,700000,0.531,0.522
"CW",700000,750000,0.522,0.513
"CW",750000,800000,0.513,0.505
"CW",800000,850000,0.505,0.497
"CW",850000,900000,0.497,0.49
"CW",900000,950000,0.49,0.484
"CW",950000,1000000,0.484,0.478
"CW",1000000,1100000,0.478,0.467
"CW",1100000,1200000,0.467,0.457
"CW",1200000,1300000,0.457,0.448
"CW",1300000,1400000,0.448,0.44
"CW",1400000,1500000,0.44,0.432
"CW",1500000,1600000,0.432,0.425
"CW",1600000,1700000,0.425,0.419
"CW",1700000,1800000,0.419,0.413
"CW",1800000,1900000,0.413,0.408
"CW",1900000,2000000,0.408,0.403
"CW",2000000,2500000,0.403,0.381
"CW",2500000,3000000,0.381,0.364
"CW",3000000,3500000,0.364,0.351
"CW",3500000,4000000,0.351,0.339
"CW",4000000,4500000,0.339,0.33
"CW",4500000,5000000,0.33,0.321
"CW",5000000,999999999,0.321,0.321
"CW",999999999,2147483647,0.321,0.321
