"StateCode","EQDeductibleTier","EQClass","EQDeductible","EQSubLimitPct_From","EQSubLimitPct_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW",1,"1C","1,000,000",1,2,0,1000001,0,0
"CW",1,"1C","1,000,000",2,3,0,1000001,0,0
"CW",1,"1C","1,000,000",3,4,0,1000001,0,0
"CW",1,"1C","1,000,000",4,5,0,1000001,0,0
"CW",1,"1C","1,000,000",5,10,0,1000001,0,0
"CW",1,"1C","1,000,000",10,15,0,1000001,0,0
"CW",1,"1C","1,000,000",15,20,0,1000001,0,0
"CW",1,"1C","1,000,000",20,25,0,1000001,0,0
"CW",1,"1C","1,000,000",25,30,0,1000001,0,0
"CW",1,"1C","1,000,000",30,35,0,1000001,0,0
"CW",1,"1C","1,000,000",35,40,0,1000001,0,0
"CW",1,"1C","1,000,000",40,45,0,1000001,0,0
"CW",1,"1C","1,000,000",45,50,0,1000001,0,0
"CW",1,"1C","1,000,000",50,55,0,1000001,0,0
"CW",1,"1C","1,000,000",55,60,0,1000001,0,0
"CW",1,"1C","1,000,000",60,65,0,1000001,0,0
"CW",1,"1C","1,000,000",65,70,0,1000001,0,0
"CW",1,"1C","1,000,000",70,75,0,1000001,0,0
"CW",1,"1C","1,000,000",75,2147483647,0,1000001,0,0
"CW",1,"2A","1,000,000",1,2,0,1000001,0,0
"CW",1,"2A","1,000,000",2,3,0,1000001,0,0
"CW",1,"2A","1,000,000",3,4,0,1000001,0,0
"CW",1,"2A","1,000,000",4,5,0,1000001,0,0
"CW",1,"2A","1,000,000",5,10,0,1000001,0,0
"CW",1,"2A","1,000,000",10,15,0,1000001,0,0
"CW",1,"2A","1,000,000",15,20,0,1000001,0,0
"CW",1,"2A","1,000,000",20,25,0,1000001,0,0
"CW",1,"2A","1,000,000",25,30,0,1000001,0,0
"CW",1,"2A","1,000,000",30,35,0,1000001,0,0
"CW",1,"2A","1,000,000",35,40,0,1000001,0,0
"CW",1,"2A","1,000,000",40,45,0,1000001,0,0
"CW",1,"2A","1,000,000",45,50,0,1000001,0,0
"CW",1,"2A","1,000,000",50,55,0,1000001,0,0
"CW",1,"2A","1,000,000",55,60,0,1000001,0,0
"CW",1,"2A","1,000,000",60,65,0,1000001,0,0
"CW",1,"2A","1,000,000",65,70,0,1000001,0,0
"CW",1,"2A","1,000,000",70,75,0,1000001,0,0
"CW",1,"2A","1,000,000",75,2147483647,0,1000001,0,0
"CW",1,"3C","1,000,000",1,2,0,1000001,0,0
"CW",1,"3C","1,000,000",2,3,0,1000001,0,0
"CW",1,"3C","1,000,000",3,4,0,1000001,0,0
"CW",1,"3C","1,000,000",4,5,0,1000001,0,0
"CW",1,"3C","1,000,000",5,10,0,1000001,0,0
"CW",1,"3C","1,000,000",10,15,0,1000001,0,0
"CW",1,"3C","1,000,000",15,20,0,1000001,0,0
"CW",1,"3C","1,000,000",20,25,0,1000001,0,0
"CW",1,"3C","1,000,000",25,30,0,1000001,0,0
"CW",1,"3C","1,000,000",30,35,0,1000001,0,0
"CW",1,"3C","1,000,000",35,40,0,1000001,0,0
"CW",1,"3C","1,000,000",40,45,0,1000001,0,0
"CW",1,"3C","1,000,000",45,50,0,1000001,0,0
"CW",1,"3C","1,000,000",50,55,0,1000001,0,0
"CW",1,"3C","1,000,000",55,60,0,1000001,0,0
"CW",1,"3C","1,000,000",60,65,0,1000001,0,0
"CW",1,"3C","1,000,000",65,70,0,1000001,0,0
"CW",1,"3C","1,000,000",70,75,0,1000001,0,0
"CW",1,"3C","1,000,000",75,2147483647,0,1000001,0,0
"CW",1,"4B","1,000,000",1,2,0,1000001,0,0
"CW",1,"4B","1,000,000",2,3,0,1000001,0,0
"CW",1,"4B","1,000,000",3,4,0,1000001,0,0
"CW",1,"4B","1,000,000",4,5,0,1000001,0,0
"CW",1,"4B","1,000,000",5,10,0,1000001,0,0
"CW",1,"4B","1,000,000",10,15,0,1000001,0,0
"CW",1,"4B","1,000,000",15,20,0,1000001,0,0
"CW",1,"4B","1,000,000",20,25,0,1000001,0,0
"CW",1,"4B","1,000,000",25,30,0,1000001,0,0
"CW",1,"4B","1,000,000",30,35,0,1000001,0,0
"CW",1,"4B","1,000,000",35,40,0,1000001,0,0
"CW",1,"4B","1,000,000",40,45,0,1000001,0,0
"CW",1,"4B","1,000,000",45,50,0,1000001,0,0
"CW",1,"4B","1,000,000",50,55,0,1000001,0,0
"CW",1,"4B","1,000,000",55,60,0,1000001,0,0
"CW",1,"4B","1,000,000",60,65,0,1000001,0,0
"CW",1,"4B","1,000,000",65,70,0,1000001,0,0
"CW",1,"4B","1,000,000",70,75,0,1000001,0,0
"CW",1,"4B","1,000,000",75,2147483647,0,1000001,0,0
"CW",2,"1C","1,000,000",1,2,0,1000001,0,0
"CW",2,"1C","1,000,000",2,3,0,1000001,0,0
"CW",2,"1C","1,000,000",3,4,0,1000001,0,0
"CW",2,"1C","1,000,000",4,5,0,1000001,0,0
"CW",2,"1C","1,000,000",5,10,0,1000001,0,0
"CW",2,"1C","1,000,000",10,15,0,1000001,0,0
"CW",2,"1C","1,000,000",15,20,0,1000001,0,0
"CW",2,"1C","1,000,000",20,25,0,1000001,0,0
"CW",2,"1C","1,000,000",25,30,0,1000001,0,0
"CW",2,"1C","1,000,000",30,35,0,1000001,0,0
"CW",2,"1C","1,000,000",35,40,0,1000001,0,0
"CW",2,"1C","1,000,000",40,45,0,1000001,0,0
"CW",2,"1C","1,000,000",45,50,0,1000001,0,0
"CW",2,"1C","1,000,000",50,55,0,1000001,0,0
"CW",2,"1C","1,000,000",55,60,0,1000001,0,0
"CW",2,"1C","1,000,000",60,65,0,1000001,0,0
"CW",2,"1C","1,000,000",65,70,0,1000001,0,0
"CW",2,"1C","1,000,000",70,75,0,1000001,0,0
"CW",2,"1C","1,000,000",75,2147483647,0,1000001,0,0
"CW",2,"2A","1,000,000",1,2,0,1000001,0,0
"CW",2,"2A","1,000,000",2,3,0,1000001,0,0
"CW",2,"2A","1,000,000",3,4,0,1000001,0,0
"CW",2,"2A","1,000,000",4,5,0,1000001,0,0
"CW",2,"2A","1,000,000",5,10,0,1000001,0,0
"CW",2,"2A","1,000,000",10,15,0,1000001,0,0
"CW",2,"2A","1,000,000",15,20,0,1000001,0,0
