"StateCode","EQDeductibleTier","EQClass","EQDeductible","EQSubLimitPct_From","EQSubLimitPct_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW",1,"1C","75,000",1,2,0,1000001,1.44,1.4
"CW",1,"1C","75,000",1,2,1000001,3500001,2.96,2.8
"CW",1,"1C","75,000",1,2,3500001,5500001,3.92,3.6
"CW",1,"1C","75,000",1,2,5500001,10000001,4.72,4.2
"CW",1,"1C","75,000",1,2,10000001,2147483647,6.08,5.12
"CW",1,"1C","75,000",2,3,0,1000001,1.4,1.387
"CW",1,"1C","75,000",2,3,1000001,3500001,2.8,2.667
"CW",1,"1C","75,000",2,3,3500001,5500001,3.6,3.333
"CW",1,"1C","75,000",2,3,5500001,10000001,4.2,3.84
"CW",1,"1C","75,000",2,3,10000001,2147483647,5.12,4.56
"CW",1,"1C","75,000",3,4,0,1000001,1.387,1.36
"CW",1,"1C","75,000",3,4,1000001,3500001,2.667,2.54
"CW",1,"1C","75,000",3,4,3500001,5500001,3.333,3.14
"CW",1,"1C","75,000",3,4,5500001,10000001,3.84,3.56
"CW",1,"1C","75,000",3,4,10000001,2147483647,4.56,4.16
"CW",1,"1C","75,000",4,5,0,1000001,1.36,1.344
"CW",1,"1C","75,000",4,5,1000001,3500001,2.54,2.432
"CW",1,"1C","75,000",4,5,3500001,5500001,3.14,2.976
"CW",1,"1C","75,000",4,5,5500001,10000001,3.56,3.344
"CW",1,"1C","75,000",4,5,10000001,2147483647,4.16,3.856
"CW",1,"1C","75,000",5,10,0,1000001,1.344,1.248
"CW",1,"1C","75,000",5,10,1000001,3500001,2.432,2.072
"CW",1,"1C","75,000",5,10,3500001,5500001,2.976,2.424
"CW",1,"1C","75,000",5,10,5500001,10000001,3.344,2.656
"CW",1,"1C","75,000",5,10,10000001,2147483647,3.856,2.952
"CW",1,"1C","75,000",10,15,0,1000001,1.248,1.179
"CW",1,"1C","75,000",10,15,1000001,3500001,2.072,1.84
"CW",1,"1C","75,000",10,15,3500001,5500001,2.424,2.107
"CW",1,"1C","75,000",10,15,5500001,10000001,2.656,2.272
"CW",1,"1C","75,000",10,15,10000001,2147483647,2.952,2.48
"CW",1,"1C","75,000",15,20,0,1000001,1.179,1.124
"CW",1,"1C","75,000",15,20,1000001,3500001,1.84,1.672
"CW",1,"1C","75,000",15,20,3500001,5500001,2.107,1.888
"CW",1,"1C","75,000",15,20,5500001,10000001,2.272,2.02
"CW",1,"1C","75,000",15,20,10000001,2147483647,2.48,2.18
"CW",1,"1C","75,000",20,25,0,1000001,1.124,1.075
