"StateCode","EQDeductibleTier","EQClass","EQDeductible","EQSubLimitPct_From","EQSubLimitPct_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW",1,"1C","1,000",1,2,0,50001,2.72,2.6
"CW",1,"1C","1,000",1,2,50001,100001,4.24,3.84
"CW",1,"1C","1,000",1,2,100001,250001,5.52,4.76
"CW",1,"1C","1,000",1,2,250001,2147483647,8.72,6.68
"CW",1,"1C","1,000",2,3,0,50001,2.6,2.507
"CW",1,"1C","1,000",2,3,50001,100001,3.84,3.547
"CW",1,"1C","1,000",2,3,100001,250001,4.76,4.267
"CW",1,"1C","1,000",2,3,250001,2147483647,6.68,5.68
"CW",1,"1C","1,000",3,4,0,50001,2.507,2.4
"CW",1,"1C","1,000",3,4,50001,100001,3.547,3.32
"CW",1,"1C","1,000",3,4,100001,250001,4.267,3.92
"CW",1,"1C","1,000",3,4,250001,2147483647,5.68,5.02
"CW",1,"1C","1,000",4,5,0,50001,2.4,2.304
"CW",1,"1C","1,000",4,5,50001,100001,3.32,3.136
"CW",1,"1C","1,000",4,5,100001,250001,3.92,3.648
"CW",1,"1C","1,000",4,5,250001,2147483647,5.02,4.56
"CW",1,"1C","1,000",5,10,0,50001,2.304,1.984
"CW",1,"1C","1,000",5,10,50001,100001,3.136,2.528
"CW",1,"1C","1,000",5,10,100001,250001,3.648,2.832
"CW",1,"1C","1,000",5,10,250001,2147483647,4.56,3.336
"CW",1,"1C","1,000",10,15,0,50001,1.984,1.771
"CW",1,"1C","1,000",10,15,50001,100001,2.528,2.181
"CW",1,"1C","1,000",10,15,100001,250001,2.832,2.4
"CW",1,"1C","1,000",10,15,250001,2147483647,3.336,2.747
"CW",1,"1C","1,000",15,20,0,50001,1.771,1.616
"CW",1,"1C","1,000",15,20,50001,100001,2.181,1.944
"CW",1,"1C","1,000",15,20,100001,250001,2.4,2.12
"CW",1,"1C","1,000",15,20,250001,2147483647,2.747,2.384
"CW",1,"1C","1,000",20,25,0,50001,1.616,1.501
"CW",1,"1C","1,000",20,25,50001,100001,1.944,1.773
"CW",1,"1C","1,000",20,25,100001,250001,2.12,1.917
"CW",1,"1C","1,000",20,25,250001,2147483647,2.384,2.131
"CW",1,"1C","1,000",25,30,0,50001,1.501,1.408
"CW",1,"1C","1,000",25,30,50001,100001,1.773,1.64
"CW",1,"1C","1,000",25,30,100001,250001,1.917,1.763
"CW",1,"1C","1,000",25,30,250001,2147483647,2.131,1.944
"CW",1,"1C","1,000",30,35,0,50001,1.408,1.33
"CW",1,"1C","1,000",30,35,50001,100001,1.64,1.536
"CW",1,"1C","1,000",30,35,100001,250001,1.763,1.641
"CW",1,"1C","1,000",30,35,250001,2147483647,1.944,1.799
"CW",1,"1C","1,000",35,40,0,50001,1.33,1.268
"CW",1,"1C","1,000",35,40,50001,100001,1.536,1.45
"CW",1,"1C","1,000",35,40,100001,250001,1.641,1.544
"CW",1,"1C","1,000",35,40,250001,2147483647,1.799,1.682
"CW",1,"1C","1,000",40,45,0,50001,1.268,1.216
"CW",1,"1C","1,000",40,45,50001,100001,1.45,1.38
"CW",1,"1C","1,000",40,45,100001,250001,1.544,1.463
"CW",1,"1C","1,000",40,45,250001,2147483647,1.682,1.586
"CW",1,"1C","1,000",45,50,0,50001,1.216,1.173
"CW",1,"1C","1,000",45,50,50001,100001,1.38,1.318
"CW",1,"1C","1,000",45,50,100001,250001,1.463,1.395
"CW",1,"1C","1,000",45,50,250001,2147483647,1.586,1.506
"CW",1,"1C","1,000",50,55,0,50001,1.173,1.135
"CW",1,"1C","1,000",50,55,50001,100001,1.318,1.268
"CW",1,"1C","1,000",50,55,100001,250001,1.395,1.337
"CW",1,"1C","1,000",50,55,250001,2147483647,1.506,1.439
"CW",1,"1C","1,000",55,60,0,50001,1.135,1.104
"CW",1,"1C","1,000",55,60,50001,100001,1.268,1.225
"CW",1,"1C","1,000",55,60,100001,250001,1.337,1.288
"CW",1,"1C","1,000",55,60,250001,2147483647,1.439,1.381
"CW",1,"1C","1,000",60,65,0,50001,1.104,1.078
"CW",1,"1C","1,000",60,65,50001,100001,1.225,1.189
"CW",1,"1C","1,000",60,65,100001,250001,1.288,1.247
"CW",1,"1C","1,000",60,65,250001,2147483647,1.381,1.333
"CW",1,"1C","1,000",65,70,0,50001,1.078,1.057
"CW",1,"1C","1,000",65,70,50001,100001,1.189,1.159
"CW",1,"1C","1,000",65,70,100001,250001,1.247,1.213
"CW",1,"1C","1,000",65,70,250001,2147483647,1.333,1.293
"CW",1,"1C","1,000",70,75,0,50001,1.057,1.042
"CW",1,"1C","1,000",70,75,50001,100001,1.159,1.134
"CW",1,"1C","1,000",70,75,100001,250001,1.213,1.184
"CW",1,"1C","1,000",70,75,250001,2147483647,1.293,1.258
"CW",1,"1C","1,000",75,2147483647,0,50001,1.042,1.042
"CW",1,"1C","1,000",75,2147483647,50001,100001,1.134,1.134
"CW",1,"1C","1,000",75,2147483647,100001,250001,1.184,1.184
"CW",1,"1C","1,000",75,2147483647,250001,2147483647,1.258,1.258
"CW",1,"1D","1,000",1,2,0,50001,2.72,2.6
"CW",1,"1D","1,000",1,2,50001,100001,4.24,3.84
"CW",1,"1D","1,000",1,2,100001,250001,5.52,4.76
"CW",1,"1D","1,000",1,2,250001,2147483647,8.72,6.68
"CW",1,"1D","1,000",2,3,0,50001,2.6,2.507
"CW",1,"1D","1,000",2,3,50001,100001,3.84,3.547
"CW",1,"1D","1,000",2,3,100001,250001,4.76,4.267
"CW",1,"1D","1,000",2,3,250001,2147483647,6.68,5.68
"CW",1,"1D","1,000",3,4,0,50001,2.507,2.4
"CW",1,"1D","1,000",3,4,50001,100001,3.547,3.32
"CW",1,"1D","1,000",3,4,100001,250001,4.267,3.92
"CW",1,"1D","1,000",3,4,250001,2147483647,5.68,5.02
"CW",1,"1D","1,000",4,5,0,50001,2.4,2.304
"CW",1,"1D","1,000",4,5,50001,100001,3.32,3.136
"CW",1,"1D","1,000",4,5,100001,250001,3.92,3.648
"CW",1,"1D","1,000",4,5,250001,2147483647,5.02,4.56
"CW",1,"1D","1,000",5,10,0,50001,2.304,1.984
"CW",1,"1D","1,000",5,10,50001,100001,3.136,2.528
"CW",1,"1D","1,000",5,10,100001,250001,3.648,2.832
"CW",1,"1D","1,000",5,10,250001,2147483647,4.56,3.336
"CW",1,"1D","1,000",10,15,0,50001,1.984,1.771
"CW",1,"1D","1,000",10,15,50001,100001,2.528,2.181
"CW",1,"1D","1,000",10,15,100001,250001,2.832,2.4
"CW",1,"1D","1,000",10,15,250001,2147483647,3.336,2.747
"CW",1,"1D","1,000",15,20,0,50001,1.771,1.616
"CW",1,"1D","1,000",15,20,50001,100001,2.181,1.944
"CW",1,"1D","1,000",15,20,100001,250001,2.4,2.12
"CW",1,"1D","1,000",15,20,250001,2147483647,2.747,2.384
"CW",1,"1D","1,000",20,25,0,50001,1.616,1.501
"CW",1,"1D","1,000",20,25,50001,100001,1.944,1.773
"CW",1,"1D","1,000",20,25,100001,250001,2.12,1.917
"CW",1,"1D","1,000",20,25,250001,2147483647,2.384,2.131
"CW",1,"1D","1,000",25,30,0,50001,1.501,1.408
"CW",1,"1D","1,000",25,30,50001,100001,1.773,1.64
"CW",1,"1D","1,000",25,30,100001,250001,1.917,1.763
"CW",1,"1D","1,000",25,30,250001,2147483647,2.131,1.944
"CW",1,"1D","1,000",30,35,0,50001,1.408,1.33
"CW",1,"1D","1,000",30,35,50001,100001,1.64,1.536
"CW",1,"1D","1,000",30,35,100001,250001,1.763,1.641
"CW",1,"1D","1,000",30,35,250001,2147483647,1.944,1.799
"CW",1,"1D","1,000",35,40,0,50001,1.33,1.268
"CW",1,"1D","1,000",35,40,50001,100001,1.536,1.45
"CW",1,"1D","1,000",35,40,100001,250001,1.641,1.544
"CW",1,"1D","1,000",35,40,250001,2147483647,1.799,1.682
"CW",1,"1D","1,000",40,45,0,50001,1.268,1.216
"CW",1,"1D","1,000",40,45,50001,100001,1.45,1.38
"CW",1,"1D","1,000",40,45,100001,250001,1.544,1.463
"CW",1,"1D","1,000",40,45,250001,2147483647,1.682,1.586
"CW",1,"1D","1,000",45,50,0,50001,1.216,1.173
"CW",1,"1D","1,000",45,50,50001,100001,1.38,1.318
"CW",1,"1D","1,000",45,50,100001,250001,1.463,1.395
"CW",1,"1D","1,000",45,50,250001,2147483647,1.586,1.506
"CW",1,"1D","1,000",50,55,0,50001,1.173,1.135
"CW",1,"1D","1,000",50,55,50001,100001,1.318,1.268
"CW",1,"1D","1,000",50,55,100001,250001,1.395,1.337
"CW",1,"1D","1,000",50,55,250001,2147483647,1.506,1.439
"CW",1,"1D","1,000",55,60,0,50001,1.135,1.104
"CW",1,"1D","1,000",55,60,50001,100001,1.268,1.225
"CW",1,"1D","1,000",55,60,100001,250001,1.337,1.288
"CW",1,"1D","1,000",55,60,250001,2147483647,1.439,1.381
"CW",1,"1D","1,000",60,65,0,50001,1.104,1.078
"CW",1,"1D","1,000",60,65,50001,100001,1.225,1.189
"CW",1,"1D","1,000",60,65,100001,250001,1.288,1.247
"CW",1,"1D","1,000",60,65,250001,2147483647,1.381,1.333
"CW",1,"1D","1,000",65,70,0,50001,1.078,1.057
"CW",1,"1D","1,000",65,70,50001,100001,1.189,1.159
"CW",1,"1D","1,000",65,70,100001,250001,1.247,1.213
"CW",1,"1D","1,000",65,70,250001,2147483647,1.333,1.293
"CW",1,"1D","1,000",70,75,0,50001,1.057,1.042
"CW",1,"1D","1,000",70,75,50001,100001,1.159,1.134
"CW",1,"1D","1,000",70,75,100001,250001,1.213,1.184
"CW",1,"1D","1,000",70,75,250001,2147483647,1.293,1.258
"CW",1,"1D","1,000",75,2147483647,0,50001,1.042,1.042
"CW",1,"1D","1,000",75,2147483647,50001,100001,1.134,1.134
"CW",1,"1D","1,000",75,2147483647,100001,250001,1.184,1.184
"CW",1,"1D","1,000",75,2147483647,250001,2147483647,1.258,1.258
"CW",1,"2A","1,000",1,2,0,50001,3.04,2.88
"CW",1,"2A","1,000",1,2,50001,100001,4.72,4.28
"CW",1,"2A","1,000",1,2,100001,250001,6.16,5.32
"CW",1,"2A","1,000",1,2,250001,2147483647,9.6,7.4
"CW",1,"2A","1,000",2,3,0,50001,2.88,2.747
"CW",1,"2A","1,000",2,3,50001,100001,4.28,3.947
"CW",1,"2A","1,000",2,3,100001,250001,5.32,4.747
"CW",1,"2A","1,000",2,3,250001,2147483647,7.4,6.293
"CW",1,"2A","1,000",3,4,0,50001,2.747,2.64
"CW",1,"2A","1,000",3,4,50001,100001,3.947,3.68
"CW",1,"2A","1,000",3,4,100001,250001,4.747,4.36
"CW",1,"2A","1,000",3,4,250001,2147483647,6.293,5.58
"CW",1,"2A","1,000",4,5,0,50001,2.64,2.528
"CW",1,"2A","1,000",4,5,50001,100001,3.68,3.472
"CW",1,"2A","1,000",4,5,100001,250001,4.36,4.064
"CW",1,"2A","1,000",4,5,250001,2147483647,5.58,5.072
"CW",1,"2A","1,000",5,10,0,50001,2.528,2.16
"CW",1,"2A","1,000",5,10,50001,100001,3.472,2.776
"CW",1,"2A","1,000",5,10,100001,250001,4.064,3.128
"CW",1,"2A","1,000",5,10,250001,2147483647,5.072,3.688
"CW",1,"2A","1,000",10,15,0,50001,2.16,1.909
"CW",1,"2A","1,000",10,15,50001,100001,2.776,2.379
"CW",1,"2A","1,000",10,15,100001,250001,3.128,2.635
"CW",1,"2A","1,000",10,15,250001,2147483647,3.688,3.019
"CW",1,"2A","1,000",15,20,0,50001,1.909,1.736
"CW",1,"2A","1,000",15,20,50001,100001,2.379,2.112
"CW",1,"2A","1,000",15,20,100001,250001,2.635,2.308
"CW",1,"2A","1,000",15,20,250001,2147483647,3.019,2.604
"CW",1,"2A","1,000",20,25,0,50001,1.736,1.6
"CW",1,"2A","1,000",20,25,50001,100001,2.112,1.914
"CW",1,"2A","1,000",20,25,100001,250001,2.308,2.077
"CW",1,"2A","1,000",20,25,250001,2147483647,2.604,2.317
"CW",1,"2A","1,000",25,30,0,50001,1.6,1.491
"CW",1,"2A","1,000",25,30,50001,100001,1.914,1.76
"CW",1,"2A","1,000",25,30,100001,250001,2.077,1.899
"CW",1,"2A","1,000",25,30,250001,2147483647,2.317,2.101
"CW",1,"2A","1,000",30,35,0,50001,1.491,1.403
"CW",1,"2A","1,000",30,35,50001,100001,1.76,1.639
"CW",1,"2A","1,000",30,35,100001,250001,1.899,1.76
"CW",1,"2A","1,000",30,35,250001,2147483647,2.101,1.934
"CW",1,"2A","1,000",35,40,0,50001,1.403,1.332
"CW",1,"2A","1,000",35,40,50001,100001,1.639,1.54
"CW",1,"2A","1,000",35,40,100001,250001,1.76,1.646
"CW",1,"2A","1,000",35,40,250001,2147483647,1.934,1.8
"CW",1,"2A","1,000",40,45,0,50001,1.332,1.269
"CW",1,"2A","1,000",40,45,50001,100001,1.54,1.458
"CW",1,"2A","1,000",40,45,100001,250001,1.646,1.552
"CW",1,"2A","1,000",40,45,250001,2147483647,1.8,1.689
"CW",1,"2A","1,000",45,50,0,50001,1.269,1.218
"CW",1,"2A","1,000",45,50,50001,100001,1.458,1.387
"CW",1,"2A","1,000",45,50,100001,250001,1.552,1.474
"CW",1,"2A","1,000",45,50,250001,2147483647,1.689,1.597
"CW",1,"2A","1,000",50,55,0,50001,1.218,1.174
"CW",1,"2A","1,000",50,55,50001,100001,1.387,1.327
"CW",1,"2A","1,000",50,55,100001,250001,1.474,1.407
"CW",1,"2A","1,000",50,55,250001,2147483647,1.597,1.519
"CW",1,"2A","1,000",55,60,0,50001,1.174,1.135
"CW",1,"2A","1,000",55,60,50001,100001,1.327,1.276
"CW",1,"2A","1,000",55,60,100001,250001,1.407,1.348
"CW",1,"2A","1,000",55,60,250001,2147483647,1.519,1.452
"CW",1,"2A","1,000",60,65,0,50001,1.135,1.103
