"StateCode","EQDeductibleTier","EQClass","EQDeductible","EQSubLimitPct_From","EQSubLimitPct_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW",1,"1C","100,000",1,2,0,1000001,1.28,1.24
"CW",1,"1C","100,000",1,2,1000001,3500001,2.56,2.48
"CW",1,"1C","100,000",1,2,3500001,5500001,3.52,3.24
"CW",1,"1C","100,000",1,2,5500001,10000001,4.32,3.88
"CW",1,"1C","100,000",1,2,10000001,2147483647,5.68,4.88
"CW",1,"1C","100,000",2,3,0,1000001,1.24,1.2
"CW",1,"1C","100,000",2,3,1000001,3500001,2.48,2.373
"CW",1,"1C","100,000",2,3,3500001,5500001,3.24,3.067
"CW",1,"1C","100,000",2,3,5500001,10000001,3.88,3.573
"CW",1,"1C","100,000",2,3,10000001,2147483647,4.88,4.373
"CW",1,"1C","100,000",3,4,0,1000001,1.2,1.2
"CW",1,"1C","100,000",3,4,1000001,3500001,2.373,2.28
"CW",1,"1C","100,000",3,4,3500001,5500001,3.067,2.9
"CW",1,"1C","100,000",3,4,5500001,10000001,3.573,3.34
"CW",1,"1C","100,000",3,4,10000001,2147483647,4.373,4
"CW",1,"1C","100,000",4,5,0,1000001,1.2,1.184
"CW",1,"1C","100,000",4,5,1000001,3500001,2.28,2.208
"CW",1,"1C","100,000",4,5,3500001,5500001,2.9,2.752
"CW",1,"1C","100,000",4,5,5500001,10000001,3.34,3.152
"CW",1,"1C","100,000",4,5,10000001,2147483647,4,3.712
"CW",1,"1C","100,000",5,10,0,1000001,1.184,1.112
"CW",1,"1C","100,000",5,10,1000001,3500001,2.208,1.912
"CW",1,"1C","100,000",5,10,3500001,5500001,2.752,2.288
"CW",1,"1C","100,000",5,10,5500001,10000001,3.152,2.544
"CW",1,"1C","100,000",5,10,10000001,2147483647,3.712,2.872
"CW",1,"1C","100,000",10,15,0,1000001,1.112,1.061
"CW",1,"1C","100,000",10,15,1000001,3500001,1.912,1.712
"CW",1,"1C","100,000",10,15,3500001,5500001,2.288,2
"CW",1,"1C","100,000",10,15,5500001,10000001,2.544,2.187
"CW",1,"1C","100,000",10,15,10000001,2147483647,2.872,2.427
"CW",1,"1C","100,000",15,20,0,1000001,1.061,1.02
"CW",1,"1C","100,000",15,20,1000001,3500001,1.712,1.568
"CW",1,"1C","100,000",15,20,3500001,5500001,2,1.804
"CW",1,"1C","100,000",15,20,5500001,10000001,2.187,1.952
"CW",1,"1C","100,000",15,20,10000001,2147483647,2.427,2.14
"CW",1,"1C","100,000",20,25,0,1000001,1.02,0.986
"CW",1,"1C","100,000",20,25,1000001,3500001,1.568,1.459
"CW",1,"1C","100,000",20,25,3500001,5500001,1.804,1.658
"CW",1,"1C","100,000",20,25,5500001,10000001,1.952,1.779
"CW",1,"1C","100,000",20,25,10000001,2147483647,2.14,1.933
"CW",1,"1C","100,000",25,30,0,1000001,0.986,0.957
"CW",1,"1C","100,000",25,30,1000001,3500001,1.459,1.371
"CW",1,"1C","100,000",25,30,3500001,5500001,1.658,1.541
"CW",1,"1C","100,000",25,30,5500001,10000001,1.779,1.648
"CW",1,"1C","100,000",25,30,10000001,2147483647,1.933,1.779
"CW",1,"1C","100,000",30,35,0,1000001,0.957,0.935
"CW",1,"1C","100,000",30,35,1000001,3500001,1.371,1.298
"CW",1,"1C","100,000",30,35,3500001,5500001,1.541,1.449
"CW",1,"1C","100,000",30,35,5500001,10000001,1.648,1.541
"CW",1,"1C","100,000",30,35,10000001,2147483647,1.779,1.655
"CW",1,"1C","100,000",35,40,0,1000001,0.935,0.916
"CW",1,"1C","100,000",35,40,1000001,3500001,1.298,1.24
"CW",1,"1C","100,000",35,40,3500001,5500001,1.449,1.372
"CW",1,"1C","100,000",35,40,5500001,10000001,1.541,1.454
"CW",1,"1C","100,000",35,40,10000001,2147483647,1.655,1.554
"CW",1,"1C","100,000",40,45,0,1000001,0.916,0.9
"CW",1,"1C","100,000",40,45,1000001,3500001,1.24,1.189
"CW",1,"1C","100,000",40,45,3500001,5500001,1.372,1.31
"CW",1,"1C","100,000",40,45,5500001,10000001,1.454,1.383
"CW",1,"1C","100,000",40,45,10000001,2147483647,1.554,1.472
"CW",1,"1C","100,000",45,50,0,1000001,0.9,0.888
"CW",1,"1C","100,000",45,50,1000001,3500001,1.189,1.147
"CW",1,"1C","100,000",45,50,3500001,5500001,1.31,1.256
"CW",1,"1C","100,000",45,50,5500001,10000001,1.383,1.323
"CW",1,"1C","100,000",45,50,10000001,2147483647,1.472,1.403
"CW",1,"1C","100,000",50,55,0,1000001,0.888,0.88
"CW",1,"1C","100,000",50,55,1000001,3500001,1.147,1.111
"CW",1,"1C","100,000",50,55,3500001,5500001,1.256,1.21
"CW",1,"1C","100,000",50,55,5500001,10000001,1.323,1.271
"CW",1,"1C","100,000",50,55,10000001,2147483647,1.403,1.345
"CW",1,"1C","100,000",55,60,0,1000001,0.88,0.876
"CW",1,"1C","100,000",55,60,1000001,3500001,1.111,1.081
"CW",1,"1C","100,000",55,60,3500001,5500001,1.21,1.172
"CW",1,"1C","100,000",55,60,5500001,10000001,1.271,1.228
"CW",1,"1C","100,000",55,60,10000001,2147483647,1.345,1.296
"CW",1,"1C","100,000",60,65,0,1000001,0.876,0.875
"CW",1,"1C","100,000",60,65,1000001,3500001,1.081,1.057
"CW",1,"1C","100,000",60,65,3500001,5500001,1.172,1.141
"CW",1,"1C","100,000",60,65,5500001,10000001,1.228,1.191
"CW",1,"1C","100,000",60,65,10000001,2147483647,1.296,1.254
"CW",1,"1C","100,000",65,70,0,1000001,0.875,0.88
"CW",1,"1C","100,000",65,70,1000001,3500001,1.057,1.037
"CW",1,"1C","100,000",65,70,3500001,5500001,1.141,1.113
"CW",1,"1C","100,000",65,70,5500001,10000001,1.191,1.161
"CW",1,"1C","100,000",65,70,10000001,2147483647,1.254,1.219
"CW",1,"1C","100,000",70,75,0,1000001,0.88,0.891
"CW",1,"1C","100,000",70,75,1000001,3500001,1.037,1.022
"CW",1,"1C","100,000",70,75,3500001,5500001,1.113,1.092
"CW",1,"1C","100,000",70,75,5500001,10000001,1.161,1.136
"CW",1,"1C","100,000",70,75,10000001,2147483647,1.219,1.19
"CW",1,"1C","100,000",75,2147483647,0,1000001,0.891,0.891
"CW",1,"1C","100,000",75,2147483647,1000001,3500001,1.022,1.022
"CW",1,"1C","100,000",75,2147483647,3500001,5500001,1.092,1.092
"CW",1,"1C","100,000",75,2147483647,5500001,10000001,1.136,1.136
"CW",1,"1C","100,000",75,2147483647,10000001,2147483647,1.19,1.19
"CW",1,"1D","100,000",1,2,0,1000001,1.28,1.24
"CW",1,"1D","100,000",1,2,1000001,3500001,2.56,2.48
"CW",1,"1D","100,000",1,2,3500001,5500001,3.52,3.24
"CW",1,"1D","100,000",1,2,5500001,10000001,4.32,3.88
"CW",1,"1D","100,000",1,2,10000001,2147483647,5.68,4.88
"CW",1,"1D","100,000",2,3,0,1000001,1.24,1.2
"CW",1,"1D","100,000",2,3,1000001,3500001,2.48,2.373
"CW",1,"1D","100,000",2,3,3500001,5500001,3.24,3.067
"CW",1,"1D","100,000",2,3,5500001,10000001,3.88,3.573
"CW",1,"1D","100,000",2,3,10000001,2147483647,4.88,4.373
"CW",1,"1D","100,000",3,4,0,1000001,1.2,1.2
"CW",1,"1D","100,000",3,4,1000001,3500001,2.373,2.28
"CW",1,"1D","100,000",3,4,3500001,5500001,3.067,2.9
"CW",1,"1D","100,000",3,4,5500001,10000001,3.573,3.34
"CW",1,"1D","100,000",3,4,10000001,2147483647,4.373,4
"CW",1,"1D","100,000",4,5,0,1000001,1.2,1.184
"CW",1,"1D","100,000",4,5,1000001,3500001,2.28,2.208
"CW",1,"1D","100,000",4,5,3500001,5500001,2.9,2.752
"CW",1,"1D","100,000",4,5,5500001,10000001,3.34,3.152
"CW",1,"1D","100,000",4,5,10000001,2147483647,4,3.712
"CW",1,"1D","100,000",5,10,0,1000001,1.184,1.112
"CW",1,"1D","100,000",5,10,1000001,3500001,2.208,1.912
"CW",1,"1D","100,000",5,10,3500001,5500001,2.752,2.288
