"StateCode","PolicyType","DisplayValue","DataValue"
"CW","Commercial Property Policy","15,000 Sub Limit","15,000 Sub Limit"
"CW","Commercial Property Policy","Policy Limit","Policy Limit"
"CW","Commercial Property Policy","Separate Limits","Separate Limits"
"CW","Standard Property Policy","15,000 Sub Limit","15,000 Sub Limit"
