"StateCode","DisplayValue","DataValue"
"CW","Drone (separate limit per drone)","Drone (separate limit per drone)"
"CW","Drone (blanket limit)","Drone (blanket limit)"
"CW","Drone and Related Equipment (combined single limit)","Drone and Related Equipment (combined single limit)"
"CW","Drone and Related Equipment (blanket limit)","Drone and Related Equipment (blanket limit)"
