"StateCode","PolicyType","CauseOfLossSpecialClass","IncludedInBlktSpecialClass","ValuationTypeSpecialClass","AgreedValueBldg","DisplayValue","DataValue"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","No","100%","100%"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","Not Applicable","80%","80%"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","Not Applicable","90%","90%"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","Not Applicable","100%","100%"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","Yes","80%","80%"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","Yes","90%","90%"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","Yes","100%","100%"
"CW","Commercial Property Policy","Broad","No","Not Applicable","Blanket Agreed Value Option Applies","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Broad","No","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Broad","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Broad","No","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","Blanket Agreed Value Option Applies","80%","80%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","Blanket Agreed Value Option Applies","90%","90%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","Blanket Agreed Value Option Applies","100%","100%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","No","80%","80%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","No","90%","90%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","No","100%","100%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","Not Applicable","80%","80%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","Not Applicable","90%","90%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","Not Applicable","100%","100%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","Yes","80%","80%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","Yes","90%","90%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","Yes","100%","100%"
"CW","Commercial Property Policy","Broad","Yes","Not Applicable","Blanket Agreed Value Option Applies","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Broad","Yes","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Broad","Yes","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Broad","Yes","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Special","No","Actual Cash Value","Blanket Agreed Value Option Applies","80%","80%"
"CW","Commercial Property Policy","Special","No","Actual Cash Value","Blanket Agreed Value Option Applies","90%","90%"
"CW","Commercial Property Policy","Special","No","Actual Cash Value","Blanket Agreed Value Option Applies","100%","100%"
"CW","Commercial Property Policy","Special","No","Actual Cash Value","No","80%","80%"
"CW","Commercial Property Policy","Special","No","Actual Cash Value","No","90%","90%"
"CW","Commercial Property Policy","Special","No","Actual Cash Value","No","100%","100%"
"CW","Commercial Property Policy","Special","No","Actual Cash Value","Not Applicable","80%","80%"
"CW","Commercial Property Policy","Special","No","Actual Cash Value","Not Applicable","90%","90%"
"CW","Commercial Property Policy","Special","No","Actual Cash Value","Not Applicable","100%","100%"
"CW","Commercial Property Policy","Special","No","Actual Cash Value","Yes","80%","80%"
"CW","Commercial Property Policy","Special","No","Actual Cash Value","Yes","90%","90%"
"CW","Commercial Property Policy","Special","No","Actual Cash Value","Yes","100%","100%"
"CW","Commercial Property Policy","Special","No","Not Applicable","Blanket Agreed Value Option Applies","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Special","Yes","Not Applicable","Blanket Agreed Value Option Applies","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Special","No","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Special","Yes","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Special","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Special","Yes","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Special","No","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Special","Yes","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Special","No","Replacement Cost","Blanket Agreed Value Option Applies","80%","80%"
"CW","Commercial Property Policy","Special","No","Replacement Cost","Blanket Agreed Value Option Applies","90%","90%"
"CW","Commercial Property Policy","Special","No","Replacement Cost","Blanket Agreed Value Option Applies","100%","100%"
"CW","Commercial Property Policy","Special","No","Replacement Cost","No","80%","80%"
"CW","Commercial Property Policy","Special","No","Replacement Cost","No","90%","90%"
"CW","Commercial Property Policy","Special","No","Replacement Cost","No","100%","100%"
"CW","Commercial Property Policy","Special","No","Replacement Cost","Not Applicable","80%","80%"
"CW","Commercial Property Policy","Special","No","Replacement Cost","Not Applicable","90%","90%"
"CW","Commercial Property Policy","Special","No","Replacement Cost","Not Applicable","100%","100%"
"CW","Commercial Property Policy","Special","No","Replacement Cost","Yes","80%","80%"
"CW","Commercial Property Policy","Special","No","Replacement Cost","Yes","90%","90%"
"CW","Commercial Property Policy","Special","No","Replacement Cost","Yes","100%","100%"
"CW","Standard Property Policy","Blanket Cause of Loss Applies","Yes","Actual Cash Value","Not Applicable","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Standard Property Policy","Blanket Cause of Loss Applies","Yes","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Fire","No","Actual Cash Value","Not Applicable","50%","50%"
"CW","Standard Property Policy","Fire","No","Actual Cash Value","Not Applicable","60%","60%"
"CW","Standard Property Policy","Fire","No","Actual Cash Value","Not Applicable","70%","70%"
"CW","Standard Property Policy","Fire","No","Actual Cash Value","Not Applicable","80%","80%"
"CW","Standard Property Policy","Fire","No","Actual Cash Value","Not Applicable","90%","90%"
"CW","Standard Property Policy","Fire","No","Actual Cash Value","Not Applicable","100%","100%"
"CW","Standard Property Policy","Fire","No","Actual Cash Value","Not Applicable","None","None"
"CW","Standard Property Policy","Fire","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Fire and Allied Lines","No","Actual Cash Value","Not Applicable","50%","50%"
"CW","Standard Property Policy","Fire and Allied Lines","No","Actual Cash Value","Not Applicable","60%","60%"
"CW","Standard Property Policy","Fire and Allied Lines","No","Actual Cash Value","Not Applicable","70%","70%"
"CW","Standard Property Policy","Fire and Allied Lines","No","Actual Cash Value","Not Applicable","80%","80%"
"CW","Standard Property Policy","Fire and Allied Lines","No","Actual Cash Value","Not Applicable","90%","90%"
"CW","Standard Property Policy","Fire and Allied Lines","No","Actual Cash Value","Not Applicable","100%","100%"
"CW","Standard Property Policy","Fire and Allied Lines","No","Actual Cash Value","Not Applicable","None","None"
"CW","Standard Property Policy","Fire and Allied Lines","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Fire and Vandalism","No","Actual Cash Value","Not Applicable","50%","50%"
"CW","Standard Property Policy","Fire and Vandalism","No","Actual Cash Value","Not Applicable","60%","60%"
"CW","Standard Property Policy","Fire and Vandalism","No","Actual Cash Value","Not Applicable","70%","70%"
"CW","Standard Property Policy","Fire and Vandalism","No","Actual Cash Value","Not Applicable","80%","80%"
"CW","Standard Property Policy","Fire and Vandalism","No","Actual Cash Value","Not Applicable","90%","90%"
