"StateCode","DisplayValue","DataValue"
"CW","All Ordinary Payroll Expense Is Excluded","All Ordinary Payroll Expense Is Excluded"
"CW","Limited Ordinary Payroll Expense","Limited Ordinary Payroll Expense"
