"StateCode","PolicyType","DisplayValue","DataValue"
"CW","Commercial Property Policy","No","No"
"CW","Commercial Property Policy","Yes","Yes"
"CW","Standard Property Policy","Not Applicable to Standard Property Policy","Not Applicable to Standard Property Policy"
