"StateCode","DisplayValue","DataValue"
"CW","Certified Terrorism Premium Calculated for Entire Term","Certified Terrorism Premium Calculated for Entire Term"
"CW","Certified Terrorism Premium Calculated Only Until End of This Calendar Year","Certified Terrorism Premium Calculated Only Until End of This Calendar Year"
