"StateCode","DisplayValue","DataValue"
"CW","Towers - Broadcasting Antennas (Radio and TV)","Towers - Broadcasting Antennas (Radio and TV)"
"CW","Towers - Receiving Antennas (Radio and TV)","Towers - Receiving Antennas (Radio and TV)"
