"StateCode","DisplayValue","DataValue"
"CW","5%","5%"
"CW","10%","10%"
"CW","15%","15%"
"CW","20%","20%"
"CW","25%","25%"
"CW","30%","30%"
"CW","35%","35%"
"CW","40%","40%"
"CW","50%","50%"
"CW","60%","60%"
"CW","70%","70%"
