"StateCode","DisplayValue","DataValue"
"CW","Building Individually Inspected and Certified as Best Grade 1","Building Individually Inspected and Certified as Best Grade 1"
"CW","Graded-Building Constructed Before Year of Community Grading","Graded-Building Constructed Before Year of Community Grading"
"CW","Graded-Building Constructed During or After Year of Community Grading","Graded-Building Constructed During or After Year of Community Grading"
"CW","Not Graded","Not Graded"
