"StateCode","PolicyType","CovTypeBldg","CauseOfLossBldg","IncludedInBlktBldg","ValuationTypeBldg","AgreedValueBldg","DisplayValue","DataValue"
"CW","Commercial Property Policy","Building","Broad","No","Replacement Cost","No","80%","80%"
"CW","Commercial Property Policy","Building","Broad","No","Replacement Cost","No","90%","90%"
"CW","Commercial Property Policy","Building","Broad","No","Replacement Cost","No","100%","100%"
"CW","Commercial Property Policy","Building","Broad","No","Functional Valuation","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Building","Broad","No","Actual Cash Value","Yes","80%","80%"
"CW","Commercial Property Policy","Building","Broad","No","Actual Cash Value","Yes","90%","90%"
"CW","Commercial Property Policy","Building","Broad","No","Actual Cash Value","Yes","100%","100%"
"CW","Commercial Property Policy","Building","Broad","No","Functional Valuation","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Building","Broad","No","Replacement Cost","Yes","80%","80%"
"CW","Commercial Property Policy","Building","Broad","No","Replacement Cost","Yes","90%","90%"
"CW","Commercial Property Policy","Building","Broad","No","Replacement Cost","Yes","100%","100%"
"CW","Commercial Property Policy","Building","Special","No","Actual Cash Value","No","80%","80%"
"CW","Commercial Property Policy","Building","Special","No","Actual Cash Value","No","90%","90%"
"CW","Commercial Property Policy","Building","Special","No","Actual Cash Value","No","100%","100%"
"CW","Commercial Property Policy","Building","Special","No","Functional Valuation","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Building","Special","No","Replacement Cost","No","80%","80%"
"CW","Commercial Property Policy","Building","Special","No","Replacement Cost","No","90%","90%"
"CW","Commercial Property Policy","Building","Special","No","Replacement Cost","No","100%","100%"
"CW","Commercial Property Policy","Building","Special","No","Functional Valuation","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Building","Special","No","Actual Cash Value","Yes","80%","80%"
"CW","Commercial Property Policy","Building","Special","No","Actual Cash Value","Yes","90%","90%"
"CW","Commercial Property Policy","Building","Special","No","Actual Cash Value","Yes","100%","100%"
"CW","Commercial Property Policy","Building","Special","No","Functional Valuation","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Building","Special","No","Replacement Cost","Yes","80%","80%"
"CW","Commercial Property Policy","Building","Special","No","Replacement Cost","Yes","90%","90%"
"CW","Commercial Property Policy","Building","Special","No","Replacement Cost","Yes","100%","100%"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Actual Cash Value","No","50%","50%"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Actual Cash Value","No","60%","60%"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Actual Cash Value","No","70%","70%"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Actual Cash Value","No","80%","80%"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Actual Cash Value","No","90%","90%"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Actual Cash Value","No","100%","100%"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Actual Cash Value","No","None","None"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Functional Valuation","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Replacement Cost","No","80%","80%"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Replacement Cost","No","90%","90%"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Replacement Cost","No","100%","100%"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Functional Valuation","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Actual Cash Value","Yes","80%","80%"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Actual Cash Value","Yes","90%","90%"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Actual Cash Value","Yes","100%","100%"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Functional Valuation","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Replacement Cost","Yes","80%","80%"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Replacement Cost","Yes","90%","90%"
"CW","Commercial Property Policy","Condominium Association","Basic","No","Replacement Cost","Yes","100%","100%"
"CW","Commercial Property Policy","Condominium Association","Blanket Cause of Loss Applies","Yes","Actual Cash Value","Blanket Agreed Value Option Applies","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Condominium Association","Blanket Cause of Loss Applies","Yes","Replacement Cost","Blanket Agreed Value Option Applies","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Condominium Association","Blanket Cause of Loss Applies","Yes","Actual Cash Value","No","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Condominium Association","Blanket Cause of Loss Applies","Yes","Replacement Cost","No","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Condominium Association","Blanket Cause of Loss Applies","Yes","Actual Cash Value","Not Applicable","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Condominium Association","Blanket Cause of Loss Applies","Yes","Replacement Cost","Not Applicable","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Condominium Association","Blanket Cause of Loss Applies","Yes","Actual Cash Value","Yes","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Condominium Association","Blanket Cause of Loss Applies","Yes","Replacement Cost","Yes","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Condominium Association","Broad","No","Actual Cash Value","No","80%","80%"
"CW","Commercial Property Policy","Condominium Association","Broad","No","Actual Cash Value","No","90%","90%"
"CW","Commercial Property Policy","Condominium Association","Broad","No","Actual Cash Value","No","100%","100%"
"CW","Commercial Property Policy","Condominium Association","Broad","No","Functional Valuation","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Condominium Association","Broad","No","Replacement Cost","No","80%","80%"
"CW","Commercial Property Policy","Condominium Association","Broad","No","Replacement Cost","No","90%","90%"
"CW","Commercial Property Policy","Condominium Association","Broad","No","Replacement Cost","No","100%","100%"
"CW","Commercial Property Policy","Condominium Association","Broad","No","Functional Valuation","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Condominium Association","Broad","No","Actual Cash Value","Yes","80%","80%"
"CW","Commercial Property Policy","Condominium Association","Broad","No","Actual Cash Value","Yes","90%","90%"
"CW","Commercial Property Policy","Condominium Association","Broad","No","Actual Cash Value","Yes","100%","100%"
"CW","Commercial Property Policy","Condominium Association","Broad","No","Functional Valuation","Yes","Not Applicable","Not Applicable"
