"StateCode","PolicyType","DisplayValue","DataValue"
"CW","Commercial Property Policy","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Replacement Cost","Replacement Cost"
"CW","Standard Property Policy","Actual Cash Value","Actual Cash Value"
