"StateCode","DisplayValue","DataValue"
"CW","All employees and job classifications including officers, executives, management personnel and contract employees","All employees and job classifications including officers, executives, management personnel and contract employees"
"CW","All employees and job classifications other than officers, executives, management personnel and contract employees","All employees and job classifications other than officers, executives, management personnel and contract employees"
"CW","All employees and job classifications (including officers, executives, management personnel and contract employees), except:","All employees and job classifications (including officers, executives, management personnel and contract employees), except:"
"CW","Only the following job classifications and/or employees:","Only the following job classifications and/or employees:"
