"StateCode","DisplayValue","DataValue"
"CW","Breakdown or Contamination","Breakdown or Contamination"
"CW","Power Outage","Power Outage"
"CW","Both Breakdown or Contamination and Power Outage","Both Breakdown or Contamination and Power Outage"
