"StateCode","DisplayValue","DataValue"
"CW","Not Applicable","Not Applicable"
"CW","Service Applying Within the Insured's Premises, Requiring Hourly Rounds and Signals Hourly to a Station Outside Location","Service Applying Within the Insured's Premises, Requiring Hourly Rounds and Signals Hourly to a Station Outside Location"
"CW","Service Does Not Signal to an Outside Station but Registers at Least Hourly on a Watchman's Clock in the Insured's Premises","Service Does Not Signal to an Outside Station but Registers at Least Hourly on a Watchman's Clock in the Insured's Premises"
"CW","Service Does Not Signal to an Outside Station or Register on a Watchman's Clock","Service Does Not Signal to an Outside Station or Register on a Watchman's Clock"
