"StateCode","DisplayValue","DataValue"
"CW","Frame","Frame"
"CW","Joisted Masonry","Joisted Masonry"
"CW","Non-Combustible","Non-Combustible"
"CW","Masonry Non-Combustible","Masonry Non-Combustible"
"CW","Modified Fire Resistive","Modified Fire Resistive"
"CW","Fire Resistive","Fire Resistive"
