"StateCode","DisplayValue","DataValue"
"CW","Not the Only Readily Available Source, Manufacturer or Outlet of Product","Not the Only Readily Available Source, Manufacturer or Outlet of Product"
"CW","Only Readily Available Source, Manufacturer or Outlet of Product","Only Readily Available Source, Manufacturer or Outlet of Product"
